video_id,duration,likeCount
KjZt-CSTZf0,,10774
XxtFBIDoqmk,,8819
NxwS0LLr9JY,,2177437
OKrRWnx-0qM,,217321
KbzoTuKm2DY,,131
nPL7J3JXGa4,,217716
VwaMQSqeAMA,,16925538
JYDeOIvin-A,,528944
kTsplc4oTDI,,439467
Uldeg_XVr5c,,13905
ZcOR3pE1zxo,,18640
6rUK7AEj8pY,,67
-gVkY5x8Q0A,,5837
0uS0c2e2Z7o,,15148
ButjRWtoiyw,,2081477
d2vx6UTMkTU,,197625
rM5QQTcrkd4,,87257
2OFpKxpZdbc,,19244
aXcCaY9Djck,,37464
q9R0QdTaHZs,,6908
CWrXY6mIxFk,,882855
a0RfjAEzYkQ,,10007
A2Y2q7xBJOI,,12821
H8qNmnGqgrc,,7326
5b9s3VEwszc,,1098488
h1LG9So2ZBk,,866766
j2zjkqeSvs0,,179384
qXQ9FOjeV-w,,223053
2GHm6glHZZc,,5211
CxX5Y3lShKQ,,15
bvfdoZEfuPQ,,53494
Iuagqg_oURo,,15535
CpzxItYc1AI,,359
EYnG_90usRI,,20199
haJZbrdT4vQ,,7928
iWyttsz9O7g,,40
r7A2shmCGOk,,4
JvgN0PRoOro,27.51,327
g14NNM0pud4,12.01,179388
XV9Qlbw_-vg,56.57,119
yVPVdDfUvKw,1.12,9625
ianIz4tKoDA,11.34,1130280
T-7lcJtv6xg,10.53,15785
TtljIZ5qutQ,2.02,232
rc1g3MyZ5Hc,43.57,60
T9F-RBLgiVw,2.19,3
cthLdPrK4IU,5.02,188311
vwU_p0fTrb4,1.25,17
u7iIK3hSsR4,1.12,31
pTXpnvFeXic,2.19,4
