"","video_id","duration"
"171","PhefIeYAVe0",22.56
"172","-o8ensmApME",NA
"173","t7FWAISfnrk",13.58
"174","eRQkSxXJ0Wc",11.34
"175","W2UvApvkYaI",5.37
"176","o_bcPbZGWGE",NA
"177","XYzhtOpoUQQ",11.28
"178","GW_fdXHOWp4",16.31
"179","mHkZb4svIF0",2.24
"180","0U0uxls41ZI",3.36
"181","PtqEBZVA-MM",41.44
"182","IYZEu01yy-0",NA
"183","OT5ugJ9wEi8",11.31
"184","j5Sg9A2ldCY",19.43
"185","m9HIaHLpr5o",15.31
"186","NcKDmOLP17M",6.48
"187","CleUrqPLCzU",14.31
"188","ejrwe7a6XIU",NA
"189","yC1DuisATOk",2.56
"190","6FOQUhVYDEU",11.33
"191","rdnxvPE5n3I",4.29
"192","TvRhfaouBHs",2.14
"193","I_1I3ZLUUKE",11.15
"194","LMvIsyUzkZs",11.28
"195","C6BQfnsXOtc",10.51
"196","6AwkELJln5M",11.28
"197","8c-aVBlt13Q",8.54
"198","SIX1vtcQKgw",10.52
"199","htw-_BJIzOQ",36.35
"200","BHh-M3qi5Gw",5
"201","xV0SMOVrUGk",6.19
"202","9p6rVmpd_OA",12.1
"203","GwRGgCM_A-Q",21.18
"204","8uDp_0Xp6tM",10.26
"205","I6xVuPZ29vg",27.06
"206","SRww7Uao9fg",25.54
"207","bkh8QiMA-MI",5.33
"208","uokIve3dr4c",1.19
"209","nFQKvjM9HCw",53.19
"210","NcAtd8nxYk0",3.47
"211","JtXdznEy6Y8",12.52
"212","JtXdznEy6Y8",2.45
"213","7umzgN4kpjE",4.37
"214","Dk8Qy7L5ZaI",11.39
"215","pJVY6lCc0hI",11.39
"216","4-thgXnxfAU",0.08
"217","l44PLl-zkP0",11.3
"218","DLL-aF9vuOM",16.25
"219","_yAaoe-XyEE",7.06
"220","XBj7EpY8ha0",2.45
"221","Uf44ekicJ_I",21.59
"222","c4YVwT__fsM",12.22
"223","13gNhlMRIDA",2.32
"224","GjYmKN7kEgg",18.13
"225","f0g0jzm0mYA",2.53
"226","vO0HAEfpnno",10.01
"227","c43auSRfn38",6.02
"228","P4boyXQuUIw",11.2
"229","2T6ly-SLLKk",26.23
"230","YfKljh1IAJs",13.34
"231","0WsjeJiAR4E",3.38
"232","9NopnZvIqWg",1.43
"233","qTPKGVrFtQU",10.14
"234","7xqptNfRl3A",26.14
"235","uVCY6PkgIR8",26.5
"236","Z34SBGwdbq8",12.25
"237","jhpZnLr_uzs",22.36
"238","i9knmaFXE7Q",22.35
"239","p7P6TTJ90LU",10.57
"240","67S2RDPqoOU",1.25
"241","nTDbIp3aUjk",NA
"242","ZSJDC98ijw0",3.25
"243","-mkZ0ISCe9M",4.44
"244","ekxkIENeaNI",7.52
"245","xuknn336NLI",4.37
"246","XNqRoDhberg",11
"247","UOwCT2fyCL8",1.04
"248","zYGKQ_t-tfw",23.11
"249","Fp2TlwW8Ejc",10.1
"250","crQan1P4lS8",22.01
"251","69zTLvF8ajc",3.51
"252","KPQfTpe1n9w",10.42
"253","8sfWpWPYyAc",26.49
"254","tBao6xbRt3k",11.29
"255","pckuS--UlV4",12.19
"256","ld6zKknEHyo",54.53
"257","HJAshq6G0J8",12.21
"258","RLMJmJ_IdnQ",30.02
"259","y4fATvydfck",0.25
