title_length,description_length,viewCount,likeCount,dislikeCount,commentCount
14,22,521,9,1,6
13,25,4704,70,3,3
14,21,41011,1046,55,59
6,33,144276,2170,154,207
13,26,22102,230,34,28
20,22,9958,322,21,14
12,29,718,4,0,0
17,23,2299,31,0,0
14,22,421,9,0,13
5,32,163183,2177,195,237
10,21,36018,272,75,0
7,22,4272,117,5,2
9,22,2406,5,0,0
15,33,56,1,0,0
14,19,261,15,3,16
9,21,6304,165,13,11
6,15,1554153,13471,1195,252
8,23,173937,964,101,18
9,27,534,12,4,1
8,25,3967887,27602,2110,630
9,23,1761,21,1,1
14,24,222,5,0,7
13,28,20657,255,15,7
15,28,114703,1053,19,79
11,33,637112,2827,441,34
10,26,5126,88,2,9
4,29,6066,15,8,1
9,22,47634,712,238,67
9,17,9737,56,1,1
12,24,6448,116,6,5
16,15,7,1,0,0
10,21,14670,13,0,0
18,35,902575,11830,882,338
10,25,19712,379,13,40
8,26,23188,399,18,10
7,26,59480,1300,43,87
10,26,28,0,0,0
7,22,305498,3414,605,209
15,23,304,9,1,3
10,25,8483,201,11,478
14,24,397,11,0,5
11,23,2325,29,0,23
10,17,199,3,0,1
10,22,18923,346,45,17
62,66,6750,307,16,6
4,24,8708,55,14,6
11,23,80989,336,44,NA
12,27,129066,1295,223,22
7,29,495606,3166,804,256
8,22,166875,NA,NA,49
13,31,436,302,0,35
9,29,870,14,2,1
14,27,220054,11272,430,417
16,28,3643,205,5,22
9,27,60,2,0,0
5,32,2609902,37767,1228,2085
15,24,1476,14,2,8
11,24,97348,1002,37,54
9,30,76161,1294,150,68
9,31,326749,5319,264,234
11,26,44376,756,25,36
11,13,75,1,0,0
13,25,24857,158,28,5
14,28,76975,1129,27,89
11,19,317887,4032,1269,457
12,25,40587,555,17,36
8,28,10439,216,19,18
12,26,37676,1156,26,51
5,24,243,11,0,0
7,21,516,3,2,0
6,25,4527234,18287,9403,1646
5,28,1927,30,0,7
15,18,90,14,1,0
7,23,28,1,0,0
6,29,102,16,0,11
12,25,97941,770,146,8
12,20,26122,629,79,91
10,27,13,0,0,0
11,24,30297,647,14,52
9,23,3270,71,2,2
