"","video_id","duration"
"178","cludvHBlLHs",NA
"179","7N0Cf1GeGVs",NA
"180","goKxKmuWKJY",NA
"181","HZ46yR-Lo8c",NA
"182","DxVsB5sO94E",NA
"183","va_NXwxSoSw",NA
"184","CzmIrPvIzxk",NA
"185","raTQK0AaSEY",NA
"186","swY_WR5xZdw",NA
"187","QT1qx-5K0y8",NA
"188","tt-ifhj7D64",NA
"189","LTLu3icCpQk",NA
"190","3TpYRpn_ylc",NA
"191","OEaNSRT-OJs",NA
"192","o4_tHTmniw4",NA
"193","IvOSJPfxXMc",NA
"194","gut423ANiwo",NA
"195","CbkWMJVhYUY",NA
"196","EKbWvGLC97Q",NA
"197","MACaqTydZw8",NA
"198","jty6SSQoelw",NA
"199","ENDnqHjBalM",NA
"200","GsU_4-WMeVE",NA
"201","qG-c8DtOm9g",NA
"202","7bcgRjM3mE8",NA
"203","1TeBl6jOHtU",NA
"204","8W6IeNooyLY",NA
"205","s-KAJ6iMQ3U",NA
"206","g7OH2OhIjJA",NA
"207","SAcpESN_Fk4",NA
"208","paXOkGMyG8M",NA
"209","sardEJDvLsY",NA
"210","5Ff3GgI70aU",NA
"211","2ACktbmscxg",NA
"212","HCF1br05oLM",NA
"213","APJOEIxjAGg",NA
"214","ElZVKOPmxEU",NA
"215","0xqA9tTZEZU",NA
"216","DJ-gMKLrhWg",NA
"217","89J5hbHcxdE",NA
"218","zcFyXaLeXko",NA
"219","vcpFB81IPSs",NA
"220","95kTDwGuQrA",NA
"221","FoztKuXEYnQ",NA
"222","6ykQ_YQRL1c",NA
"223","673V4RbuCIY",NA
"224","EVdt2TjEB8U",NA
"225","NkxyLeZZkQA",NA
"226","imiWa74cb3w",NA
"227","HhTbdpGPxV8",NA
"228","m1E8bULFW4w",NA
"229","KSxG05300Nc",NA
"230","1KqD8k7zm7Q",NA
"231","TKSlH-1XZho",NA
"232","3KykImCH9Gg",NA
"233","sFljGNQIiSo",NA
"234","O3yz9KMdKIU",NA
"235","ukk1iMQdfCk",NA
"236","K_sHGt8TMIs",NA
"237","r3exolMmz_Y",NA
"238","T5flqU0SPUs",NA
"239","aeQe_mZcyf8",NA
"240","twjdE0606bM",NA
"241","Ku1nQl43CcE",NA
"242","oBSkuzol5d8",NA
"243","s3i7YGtgDoA",NA
"244","2jQBTKfH1fk",NA
"245","zGcyzBD_pog",NA
"246","nHopexb2L_M",NA
"247","ROYp7JFbIvI",NA
"248","OVVR7Voao3I",NA
"249","sGA81VZOGqI",NA
"250","OpwjrFKp5gM",NA
"251","6X1vaf2f5fA",NA
"252","JC--GR5y80c",NA
"253","1jhJTgvbJDU",NA
"254","Zhu8afEu7DQ",NA
"255","UCZVSr2Xt2k",NA
"256","6yQb5HwndgQ",NA
"257","GTUruS-lnEo",NA
"258","hwdpBn8vY_Y",NA
"259","dcGTy9CFd7o",NA
"260","Gkv0-qUlZlE",NA
"261","qw4965GgNGY",NA
"262","3HP5zp2AlH8",NA
"263","afbofqervWU",NA
"264","QPKGF07SqTI",NA
"265","gtDFBEHY5Mg",NA
"266","MlVX1qgw0jg",NA
"267","5dFI7M3D49g",NA
"268","QiC-0Kjpj2c",NA
"269","Oc7WuYfGbrA",NA
"270","cG7YWGOTZcM",NA
"271","r12w4iRBLp4",NA
"272","ImutnoiBixY",NA
"273","J4wTY746M74",NA
"274","0OUh6N4k0Ns",NA
"275","r7imYeuAfkg",NA
"276","DUzEYcR2VtM",NA
"277","TDKwu-LSNmg",NA
"278","da9xhQOcoHk",NA
"279","A43bbzjiAuU",NA
"280","vPP6aIw1vgY",NA
"281","ygbkRSwpb-E",NA
"282","Ru4zkxNuJ_I",NA
"283","Jp4nU6wFero",NA
"284","oVsA6B1cweo",NA
"285","ivfspJOAtBI",NA
"286","AWZ4dJgDrMs",NA
"287","RhrKJvAKsGQ",NA
"288","Why8_ELzraM",NA
"289","JfbluQCz4CI",NA
"290","ue80QwXMRHg",NA
"291","tpqC2nRfJp4",NA
"292","w-RXEPscMyQ",NA
"293","0dG6HliC9OI",NA
"294","dMqojcN-DWI",NA
"295","dMqojcN-DWI",NA
"296","dMqojcN-DWI",NA
"297","dMqojcN-DWI",NA
"298","Rdk087d5KD4",NA
"299","6ziBFh3V1aM",NA
"300","UwrF_0pq8Vg",NA
"301","8kKKncowWgs",NA
"302","XpICoc65uh0",NA
"303","u8MeW2r_qq0",NA
"304","CccA1a8V0GQ",NA
"305","lokJkv32EUA",NA
"306","MCoE18Jobe4",NA
"307","ThQCSSBk5ew",NA
"308","1-t7Lt1Kbys",NA
"309","QBALQYAlYDY",NA
"310","lyj7A6iD9Nk",NA
"311","DKlX-K9Kioc",NA
"312","Xcq9eFAtQ0Y",NA
"313","oNAkBRtfA18",NA
"314","FsEhY4SexV0",NA
"315","YVfnQmz1MbU",NA
"316","-82HPlBe274",NA
"317","8HQuLtsbn98",NA
"318","nd_QT3VIRsk",NA
"319","iB-vmCg2554",NA
"320","F5JV3nVOLMA",NA
"321","fHgL8FsWtm0",NA
"322","SxWSrcvSWv0",NA
"323","GjEgreHY6Zc",NA
"324","QxoljS-qE_Y",NA
"325","lZSCGZphjq0",NA
"326","lPYGTSDgcAc",NA
"327","qvvoTDY8VeE",NA
"328","fzWF6f4b7OY",NA
"329","M-lQfZgRVNI",NA
"330","DIbYq3lhiF0",NA
"331","cSp1dM2Vj48",NA
"332","KiWUv4eKmJY",NA
"333","l8F5GaqPtdc",NA
"334","LL_um6m0ftc",NA
"335","sXSk1F1X7Yg",NA
"336","OR59r-LLnJA",NA
"337","P5Lc_qaFTls",NA
"338","Q6ovaaNmIJc",NA
"339","UaQ8CNLE1bk",NA
"340","fpsY15kKe2M",NA
"341","E0Jx_4_DQpE",NA
"342","8alNeD_41Q0",NA
"343","g67goH9g3gA",NA
"344","ZqEUYxYdD74",NA
"345","HKEI3qIRtjs",NA
"346","DrLuwj2-jcA",NA
"347","ZjuPXYpErMQ",NA
"348","8uY8EPh4Wi4",NA
"349","HmaumVHMsUU",NA
"350","MlcV_9tIuas",NA
"351","v3MbqG8rPy8",NA
"352","cPEhLT9fEc0",NA
"353","O2wjUYpDicQ",NA
"354","zSWW1oPTq5A",NA
"355","58Jdl7rjhP0",NA
"356","cszhXmN_uGY",NA
"357","h03VjtB4ODo",NA
"358","fC1oNxzx_f4",NA
"359","7vEJMH99Ciw",NA
"360","o2_jyw9xqQ8",NA
"361","Uylhej6X5GA",NA
"362","Crm5euu11ZA",NA
"363","7yUvG8hRst0",NA
"364","Vxgps46SJjo",NA
"365","MvtU78OuEnA",NA
"366","kzNCXT8XS9Y",NA
"367","hSwKBTAGAGk",NA
"368","0IY2VrQCgBM",NA
"369","Q0CbN8sfihY",NA
"370","vkVTf_jQG7g",NA
"371","l5vACw-BHBA",NA
"372","wEe7ix0wO08",NA
"373","y068ZgkH3-E",NA
"374","TjYP6-gqDjM",NA
"375","6V1_Xc5_IqU",NA
"376","FwD9X09-goQ",NA
"377","g7RFYQhqnAQ",NA
"378","xuJDzUK-Hm0",NA
"379","eP9WH_qW7uI",NA
"380","95lQlgl4Q9Q",NA
"381","9wpus5retq4",NA
"382","Mi3GdCyzHCY",NA
"383","9cP17vTta_g",NA
"384","KnQ2dSJdiLw",NA
"385","3rRH3U-lcwg",NA
"386","s3Eoy_ApTWY",NA
"387","Qvg8zs3TDHs",NA
"388","lVbaGECUIrI",NA
"389","QMiE3yekxz8",NA
"390","9ENJYUbdFgM",NA
"391","xEx-FjhVQZw",NA
"392","L5KYCsWhado",NA
"393","DGyARbGErus",NA
"394","stWlELuabKI",NA
"395","M7dtIkVaN6s",NA
"396","urfrsTq8Fh0",NA
"397","inSFt1HZ6G0",NA
"398","VWQdyhBAFVg",NA
"399","WOKSPERRH8s",NA
"400","P02DBoAzzq0",NA
"401","XXcAL1pTHzQ",NA
"402","3L63iDvQvW0",NA
"403","wmnHVcz2JYg",NA
"404","UlB4l8zFOKw",NA
"405","af_N38HHOCw",NA
"406","hfTNlAhswpQ",NA
"407","e43rTlJtqvw",NA
"408","AgwszFUm_yQ",NA
"409","K527oNxtO7o",NA
"410","qYEOmZzqX28",NA
"411","hFfQhVgQU44",NA
"412","wSOYfy8GUwI",NA
"413","bJ7Fvju9DFs",NA
"414","v9QpKYed3f4",NA
"415","fzjAfV-oUSM",NA
"416","87Ai7pdYegY",NA
"417","3qncqJFlpY0",NA
"418","7XBizI9jArU",NA
"419","zg78YN77ey0",NA
"420","7HcO1D5oy7Q",NA
"421","FE435iFT6jw",NA
"422","js4HJnv4Zu4",NA
"423","kTDRFYB7Nc4",NA
"424","_R7BXkMPHf8",NA
"425","4yVh92irML4",NA
"426","I3o-UeFZFKo",NA
"427","6N5l0sgPP5k",NA
"428","9qSjAoVmcTI",NA
"429","TgTibdqWHTg",NA
"430","tADxyBAfiyo",NA
"431","QDO-Lo0tHao",NA
"432","fCE_IwP742Q",NA
"433","K2qSkhxYAPA",NA
"434","eHkke8hsy1I",NA
"435","gbfctCLguV0",NA
"436","gCXuA8qbb_c",NA
"437","84AQ5XNHW4U",NA
"438","9oHsfiQeJ9o",NA
"439","loPhZxrH8Do",NA
"440","JPPqcl_4P5E",NA
"441","VqAqUVcgQdE",NA
"442","3OVDbciJVR4",NA
"443","QRGmIV9K__E",NA
"444","udtFqQuBFSc",NA
"445","PKfNh2J_vL0",NA
