channel,section,playlist,video,link,time,views,publication date,likes,dislikes,description
Apple,Discover More,Mac,Behind the music. Behind the Mac | Apple,https://youtu.be/Ny-MGNf301k,1:01,3944190, mai 2019,7122,4266,"From bedroom studio to stadium tour, the British music scene is alive. See the emerging and the iconic, the graft and the glory, a glimpse behind the scenes and behind the music. #BehindTheMacLearn more about music on Mac https://apple.co/2JqelEXSong “What We Do” by Swindle feat. Rider Shafique, P Money, D Double E & Daley https://apple.co/30nWrIrMeet the artists in exclusive interviews free on Apple Music https://apple.co/2HoDTQISign up for a Today at Apple session to start creating or refine your sound https://apple.co/2JlaY2pFind the right Mac for you https://apple.co/30rU338"
Apple,Discover More,Mac,Introducing the new MacBook Air — Apple,https://youtu.be/hs1HoLs4SD0,2:29,7666422, okt 2018,138 118,17 026,"The new MacBook Air brings many of our most advanced technologies to this iconic design for the first time — including a brilliant Retina display, Touch ID, a powerful eighth-generation Intel Core i5 processor, the latest-generation butterfly keyboard, and the Apple T2 Security Chip. And with an enclosure made with 100% recycled aluminum, it’s the greenest Mac ever.Learn more at https://apple.co/2OhVx9f"
Apple,Discover More,Mac,YouTube,https://www.youtube.com//watch?v=xzvc3q9CtQ4&list=PLHFlHpPjgk72DwgjW0TB3QOSeAjLmPaRM&index=5,0:39,,,,,
Apple,Discover More,Mac,MacBook Air — Lightness — Apple,https://youtu.be/G7iI7YmIr30,0:39,8619871, okt 2018,62 355,14 590,"The most loved Mac is back. Available now in Silver, Gold, and Space Gray. Learn more at https://apple.co/2AACHGvSong: “Trampoline” by SHAED https://apple.co/2PwBsjO"
Apple,Discover More,Mac,YouTube,https://www.youtube.com//watch?v=siR-jGJigXM&list=PLHFlHpPjgk72DwgjW0TB3QOSeAjLmPaRM&index=7,0:39,,,,,
Apple,Discover More,Mac,YouTube,https://www.youtube.com//watch?v=kO7hsLvduEM&list=PLHFlHpPjgk72DwgjW0TB3QOSeAjLmPaRM&index=8,0:39,,,,,
Apple,Discover More,Mac,Behind the Mac — Test the Impossible — Apple,https://youtu.be/qVwwkAJposE,0:39,424094,aug 2019,7446,971,"From podcasts to programming, photography to fashion design, college students around the world are doing more than ever outside the classroom.See how the next generation is pursuing their creative passions and testing the impossible behind the Mac.Shop for Mac at: https://apple.co/2OIJgjg"
Apple,Discover More,Mac,Introducing MacBook Pro 16-inch — Apple,https://youtu.be/ysRigNyavF4,2:32,1106201, nov 2019,39 501,1669,"A pro for the pros. The new MacBook Pro is the most powerful MacBook ever. It features an immersive 16-inch Retina display, up to an 8-core processor, next-generation graphics, and up to 64GB of memory. It has the largest battery capacity ever in a MacBook Pro, up to 8TB of SSD storage, and a new Magic Keyboard. In other words, it’s the world’s best pro notebook.Learn more about the 16-inch MacBook Pro at https://apple.co/macbookpro16Song: “Tokyo Drifting” by Glass Animals & Denzel Curry https://apple.co/2XavcQcFeaturing: Chris Burkard, Adventure Photographer Oak Felder, GRAMMY®-Nominated Songwriter and ProducerCharmaine Chan, Visual Effects Artist, Industrial Light & Magic Laure De Mey, Game Developer, ustwo games"
Apple,Discover More,Mac,Behind The Mac — International Women’s Day,https://youtu.be/2iRWCFetoxg,0:49,27598691,märts 2020,29 254,18 776,"This International Women’s Day, meet the women changing the world Behind the Mac.Featured, in order:00:01 — Malala Yousafzai: The youngest Nobel laureate for her  work on girls’ education. 00:02 — Ava Duvernay: Director known for “Selma” and “When They See Us.”00:04 — Marie Kondo: Tidying expert, bestselling author and Emmy-nominated television star.00:07 — Greta Gerwig: Director known for “Lady Bird” and “Little Women.”00:09 — Gloria Steinem: Women’s rights activist who helped start second-wave feminism.00:11 — Lady Gaga: GRAMMY®️ & Oscar winning artist and founder of the Born This Way foundation. 00:13 — Megan Rapinoe and Shannon Boxx: World Cup champions fighting for equal pay.00:15 — Olivia Wilde: Actor and director known for her feature debut “Booksmart.”00:17 — Diane von Furstenberg: Fashion designer and founder of the DVF Awards.00:19 — Elizabeth Banks: Actor and director of “Pitch Perfect 2” and “Charlie’s Angels.”00:21 — Alicia Keys: GRAMMY®️ winning artist, touching hearts and inspiring the world through her art.00:23 — Lilly Singh: The first LGBTQ woman to host a network late-night talk show in 30 years. 00:25 — Audrey Gelman: C.E.O and first visibly pregnant woman featured on a business magazine cover.00:27 — Black Mamba: South Africa’s women-run anti-poaching unit.00:30 — Victoria Monét: On-the-rise artist and GRAMMY®️ nominee, known for her hit songwriting.00:32 — Tarana Burke: Founder of The ‘me too.’ Movement.00:34 — DJ Switch: A 12-year-old DJ and founder of the DJ Switch Foundation for education.Learn More About the Women https://apple.co/2TURQLp Create with Mac https://apple.co/2PNUIZjSong: “***Flawless Feat. Chimamanda Ngozi Adichie” by Beyoncé https://apple.co/38sFAqR"
Apple,Discover More,Apple Music,"Global Feminism — Annie Lennox, The Circle & Apple Music",https://youtu.be/H0rYnIR_q1c,1:39,159054,märts 2019,4755,5118,"While we celebrate and acknowledge the advancement in women rights over the past 100 years, we must make sure it’s inclusive for all. This short film aims to highlight the injustices still experienced by millions of women and girls the world over - from misogyny, rape and violence to pay disparity. Every woman and girl, no matter where they live, no matter the color their skin, no matter what religious faith, no matter what - MUST have access to the same basic human rights. Global Feminists believe in equality of rights, with empowerment and justice made available for every woman and girl in every corner of the world. Full list of participants in order of appearance: Annie Lennox, Mary J. Blige, Dua Lipa, Ed Sheeran, Paloma Faith, Farhan, Gwendoline Christie, Yola, Hozier, Skin (Skunk Anansie), Livia Firth, Beverley Knight, Frank Carter, Nadine Shah, Eve Ensler, Ade Adepitan, Richard E. Grant, Simon Neil (Biffy Clyro) , Nina Nesbit, Frank Turner, Eddie Izzard, Richa Chadha & Emeli Sande.Check out the #GLOBALFEMINISM Playlist on Apple Music:  http://apple.co/globalfeminism#GlobalFeminism#InternationalWomensDay #IWD2019"
Apple,Discover More,Apple Music,"Kesha: “Rainbow"" - Film Preview | Apple Music",https://youtu.be/eUNJTi_jU8A,1:01,95748, juuli 2018,1039,62,"Kesha celebrates the one-year anniversary of her two-time Grammy-nominated album ‘Rainbow’ by releasing a behind-the-scenes documentary exclusively on Apple Music. Listen to Kesha on Apple Music: https://apple.co/-RainbowDirected by Kesha along with her brother Lagan Sebert and Kevin Hayden, “Rainbow - The Film” details the creation of the album and echoes her most recent LP’s messages of self-love, perseverance and strength. Millions of songs. Zero ads. No commitment. Try Apple Music: http://apple.co/SUBSCRIBEWorldwide. Always on. Explore Beats 1: http://apple.co/B1Subscribe to Apple Music: https://apple.co/AppleMusicYTFollow Apple Music:Instagram: https://instagram.com/applemusicFacebook: https://facebook.com/applemusicTwitter: https://twitter.com/applemusicWatch more Apple Music: What’s New: https://apple.co/2VFatTUApple Music Up Next: https://apple.co/2MLktXEInterviews: https://apple.co/32WnrPVWhat’s Trending: https://apple.co/2Meq89t#Kesha #Rainbow #AppleMusicAbout Apple Music:Apple Music lets you listen to millions of songs, online or off, totally ad-free. Plus create and share your own playlists, get exclusive content and personalized recommendations, and stream radio stations with unlimited skips. Listen to your favorite artists 24/7, right at your fingertips."
Apple,Discover More,Apple Music,Drake — 'Nonstop'  [Preview ] | Apple Music,https://youtu.be/s-cx6tais9A,0:17,57626, juuli 2018,343,50,"Drake premieres the music video for his hit single, 'Nonstop' only on Apple Music. Watch the full video now: http://apple.co/NonstopVidOnAMApple Music: Millions of songs. Zero ads. No commitment. http://apple.co/SUBSCRIBE Explore Beats 1 for free: http://apple.co/B1About Beats 1:Worldwide. Always on. Listen for free on Apple Music or on demand with a subscription. Subscribe on YouTube: https://apple.co/B1YouTubeFollow Beats 1 on Instagram: https://apple.co/B1InstagramFollow Beats 1 on Twitter : https://apple.co/B1TwitterLike Beats 1 on Facebook: https://apple.co/B1FacebookTumblr: https://apple.co/B1TumblrAbout Apple Music:Listen to millions of songs, online or off, totally ad-free. Plus create and share your own playlists, get exclusive content and personalized recommendations, and stream radio stations with unlimited skips.Follow Apple Music on Instagram: http://apple.co/AMInstagramFollow Apple Music on Twitter: https://apple.co/AMTwitterLike Apple Music on Facebook: http://apple.co/AMFacebookDrake — 'Nonstop'  [Preview ] | Apple Music https://youtube.com/beats1radio"
Apple,Discover More,Apple Music,Apple Music — Asahd vs. Khaled: The Negotiation — Apple,https://youtu.be/tPk_PbSTzZ4,1:31,1564757, juuli 2018,16 163,3134,Apple Music: Millions of songs. Zero ads. No commitment. http://apple.co/SUBSCRIBEListen to 'No Brainer’ now on Apple Music: http://apple.co/No-Brainer
Apple,Discover More,Apple Music,Apple Music — Up Next: Bazzi — Apple,https://youtu.be/vOz3EuaAO_Y,0:31,129613,mai 2018,3401,269,"Watch a short film about Bazzi, who grew up in a Detroit suburb before moving to L.A. and recording “Mine,” the smash hit that made him one of 2018’s breakout pop stars.Learn more: http://apple.co/BazziUpNext"
Apple,Discover More,Apple Music,Juice WRLD: Up Next Film Preview | Apple Music,https://youtu.be/cZTD6f7nEzs,0:37,25665, juuni 2018,630,10,"Growing up in the Chicago suburbs, Jarad Higgins' freestyle rapping echoed through the school hallways. As a teenager, he began recording as Juice WRLD (a nod to the 1992 film starring Tupac) and set his eyes on stardom. Get to know the hip-hop phenom with our exclusive interview and watch his documentary only on Apple Music. Listen to Juice WRLD on Apple Music: http://apple.co/-JuiceWRLDMillions of songs. Zero ads. No commitment. Try Apple Music: http://apple.co/SUBSCRIBEWorldwide. Always on. Explore Beats 1: http://apple.co/B1Subscribe to Apple Music: https://apple.co/AppleMusicYTFollow Apple Music:Instagram: https://instagram.com/applemusicFacebook: https://facebook.com/applemusicTwitter: https://twitter.com/applemusicWatch more Apple Music: What’s New: https://apple.co/2VFatTUApple Music Up Next: https://apple.co/2MLktXEInterviews: https://apple.co/32WnrPVWhat’s Trending: https://apple.co/2Meq89t#JuiceWRLD #UpNext #AppleMusicAbout Apple Music:Apple Music lets you listen to millions of songs, online or off, totally ad-free. Plus create and share your own playlists, get exclusive content and personalized recommendations, and stream radio stations with unlimited skips. Listen to your favorite artists 24/7, right at your fingertips."
Apple,Discover More,Apple Music,Bebe Rexha: On The Record - Film Preview | Apple Music,https://youtu.be/WQIa6zoqu-o,0:37,14775,juuni 2018,201,11,"After a string of EPs and huge success as a songwriter of other stars’ songs, Bebe Rexha has made herself heard without ever releasing an album of her own. This exclusive short film finds the New York native reflecting on the thoughts and feelings behind Expectations, an eagerly awaited debut LP that cements her place as one of the most magnetic voices in modern pop. Listen to Bebe Rexha on Apple Music: https://apple.co/-BebeRexhaMillions of songs. Zero ads. No commitment. Try Apple Music: http://apple.co/SUBSCRIBEWorldwide. Always on. Explore Beats 1: http://apple.co/B1Subscribe to Apple Music: https://apple.co/AppleMusicYTFollow Apple Music:Instagram: https://instagram.com/applemusicFacebook: https://facebook.com/applemusicTwitter: https://twitter.com/applemusicWatch more Apple Music: What’s New: https://apple.co/2VFatTUApple Music Up Next: https://apple.co/2MLktXEInterviews: https://apple.co/32WnrPVWhat’s Trending: https://apple.co/2Meq89t#BebeRexha #OnTheRecord #AppleMusicAbout Apple Music:Apple Music lets you listen to millions of songs, online or off, totally ad-free. Plus create and share your own playlists, get exclusive content and personalized recommendations, and stream radio stations with unlimited skips. Listen to your favorite artists 24/7, right at your fingertips."
Apple,Discover More,Apple Music,5 Seconds of Summer: On the Record - Film Preview | Apple Music,https://youtu.be/PC_oOvbDRwA,0:37,21447,juuni 2018,845,3,"Following their breathtaking rise from suburban Sydney teens to one of the biggest rock bands in the world, 5 Seconds of Summer took a two-year break to focus on growing as people and musicians. Through candid interviews and behind-the-scenes footage, this exclusive film takes a close look at their highly anticipated return with Youngblood, an album that takes bold risks with big sounds. Stream the short film now only on Apple Music: http://apple.co/OTR5SecondsofSummer Millions of songs. Zero ads. No commitment. Try Apple Music: http://apple.co/SUBSCRIBEWorldwide. Always on. Explore Beats 1: http://apple.co/B1Subscribe to Apple Music: https://apple.co/AppleMusicYTFollow Apple Music:Instagram: https://instagram.com/applemusicFacebook: https://facebook.com/applemusicTwitter: https://twitter.com/applemusicWatch more Apple Music: What’s New: https://apple.co/2VFatTUApple Music Up Next: https://apple.co/2MLktXEInterviews: https://apple.co/32WnrPVWhat’s Trending: https://apple.co/2Meq89t#5SecondsOfSummer #OnTheRecord #AppleMusicAbout Apple Music:Apple Music lets you listen to millions of songs, online or off, totally ad-free. Plus create and share your own playlists, get exclusive content and personalized recommendations, and stream radio stations with unlimited skips. Listen to your favorite artists 24/7, right at your fingertips.5 Seconds of Summer: On the Record - Film Preview | Apple Musichttps://youtube.com/beats1radio"
Apple,Discover More,Apple Music,Apple Music — Horses: Patti Smith and her Band  — Apple,https://youtu.be/OXYDc0_2ckc,1:31,118036, apr 2018,936,256,"Horses: Patti Smith and her Band documents one of the last concerts of the fortieth anniversary of Patti Smith’s seminal album Horses performed in full in sequence at the Wiltern Theater, Los Angeles. Horses: Patti Smith and her Band includes intimate backstage footage and features Patti Smith and her band, Lenny Kaye, Jay Dee Daugherty, Tony Shanahan, and Jack Petruzzelli, who are joined with her guitarist Jackson Smith and Flea. The film directed by Steven Sebring and executive produced by Jimmy Iovine will be available to stream exclusively on Apple Music beginning Tuesday, May 22, 2018."
Apple,Discover More,Apple Music,Apple Music — Up Next: Bad Bunny — Trailer,https://youtu.be/WIRIGYm-qhI,0:31,69806, märts 2018,1188,252,"Watch the short film on March 9, only on Apple Music: https://apple.co/UpNextBadBunnyIn just two years, Puerto Rico's Bad Bunny went from bagging groceries in his native San Juan to performing with J Balvin at the 2017 Latin GRAMMY® Awards. His timing couldn't be better: The Spanish-language singer/rapper fuses some of pop's hottest sounds—reggaeton rhythms, trap muscle, and dance music energy—with the swaggering bravado of American rap. His songs are feasts of fearless lyrics, serving verse after verse of disses and flirts like brisk verbal punches. Explore his catalog, listen to curated playlists, and hear his brand new single, ""Dime Si Te Acuerdas.”Try Apple Music free for three months: https://apple.co/FreeTrial"
Apple,Discover More,Apple Music,Apple Music — Up Next: Bad Bunny — Apple,https://youtu.be/4sA6aOvZavg,0:31,92010, veebr 2018,1818,595,https://apple.co/UpNextBadBunnyUp Next: Bad Bunny short film coming to Apple Music on March 9.Try Apple Music free for three months: https://apple.co/FreeTrial
Apple,Discover More,Apple Music,Apple Music — Amy Shark Live in Sydney — Trailer,https://youtu.be/hLNwBs0CXpk,0:31,73827, veebr 2018,690,225,"Watch only on Apple Music: https://apple.co/AmySharkTry Apple Music free for three months: https://apple.co/FreeTrialWith support from a small band, Amy Shark performs “Adore,” “Weekends,” and “Blood Brothers” inside an industrial Queensland warehouse."
