"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount"
"1003","fXSvT7-gmoQ","2019-10-07","UCSGkhjEMPDq0iPb0JHb_w5Q","tacko fall shocks celtics crowd in 2019 nba preseason debut celtics vs hornets","Tacko Fall Shocks Celtics Crowd In 2019 NBA Preseason Debut! Celtics vs Hornets October 6, 2019-20 NBA Preseason <U+8B66><U+544A>:<U+8996><U+983B><U+7981><U+6B62><U+8F49><U+8F09>!!! <U+8B66><U+544A>:<U+8996><U+983B> ...","https://i.ytimg.com/vi/fXSvT7-gmoQ/default.jpg",120,90,"https://i.ytimg.com/vi/fXSvT7-gmoQ/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/fXSvT7-gmoQ/hqdefault.jpg",480,360,"CliveNBAParody","none",9848306,54150,2476,0,5874
"1004","RfDmNdN-8FA","2019-11-26","UCWJ2lWNubArHWmf3FIHbfcQ","shawn kemp 39 s 50 best plays nba career highlights","Check out Shawn Kemp's best 50 highlight plays from his NBA career. Subscribe to the NBA: https://on.nba.com/2JX5gSN Full Game Highlights Playlist: ...","https://i.ytimg.com/vi/RfDmNdN-8FA/default.jpg",120,90,"https://i.ytimg.com/vi/RfDmNdN-8FA/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/RfDmNdN-8FA/hqdefault.jpg",480,360,"NBA","none",408463,4297,77,0,782
"1005","3f1qf3hpOP0","2019-12-02","UCWJ2lWNubArHWmf3FIHbfcQ","nba top 10 plays of the night december 1 2019","Check out the top 10 plays of the night from around the league on Dec. 1 featuring Alex Caruso, Luka Doncic, Paul George and more! Subscribe to the NBA: ...","https://i.ytimg.com/vi/3f1qf3hpOP0/default.jpg",120,90,"https://i.ytimg.com/vi/3f1qf3hpOP0/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/3f1qf3hpOP0/hqdefault.jpg",480,360,"NBA","none",683079,8080,249,0,356
"1006","vUT1sYC3n1c","2019-10-19","UCqQo7ewe87aYAe7ub5UqXMw","warriors vs lakers best highlights amp plays from 2019 nba preseason","Check out the best highlights, plays & moments by the Los Angeles Lakers & Golden State Warriors team from the preseason | 2019-20 NBA Season NEW ...","https://i.ytimg.com/vi/vUT1sYC3n1c/default.jpg",120,90,"https://i.ytimg.com/vi/vUT1sYC3n1c/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/vUT1sYC3n1c/hqdefault.jpg",480,360,"House of Highlights","none",150684,1067,52,0,107
"1007","li7E48NmPwA","2019-06-24","UCEoz0Z2abhrth7q5OtHQb7g","most jaw dropping nba moments of 2018 2019","The most jaw-dropping NBA moments and plays of the 2018/19 NBA Season - Regular + Playoffs! Twitter: https://twitter.com/NBAMaxYT Subscribe if you like my ...","https://i.ytimg.com/vi/li7E48NmPwA/default.jpg",120,90,"https://i.ytimg.com/vi/li7E48NmPwA/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/li7E48NmPwA/hqdefault.jpg",480,360,"NBA Max","none",32600083,231149,8891,0,5718
"1008","tVyk6b5PUtY","2019-12-04","UCWJ2lWNubArHWmf3FIHbfcQ","nba top 10 plays of the night december 3 2019","Check out the top 10 plays of the night from around the league on Dec. 3 featuring Alex Caruso, Luka Doncic, LeBron James and more! Subscribe to the NBA: ...","https://i.ytimg.com/vi/tVyk6b5PUtY/default.jpg",120,90,"https://i.ytimg.com/vi/tVyk6b5PUtY/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/tVyk6b5PUtY/hqdefault.jpg",480,360,"NBA","none",562830,7398,170,0,309
"1009","5zKqbtyPJIs","2019-12-06","UCkKwKiajHDsliAhbHKp8bTA","nba funny moments amp bloopers of 2019 20 season part 1","NBA Funny Moments & Bloopers of 2019/20 Season - Part 1 NBA Funny Moments & Bloopers of 2019/20 Season - Part 1 #NBA #FunnyMoments #NbaBloopers ...","https://i.ytimg.com/vi/5zKqbtyPJIs/default.jpg",120,90,"https://i.ytimg.com/vi/5zKqbtyPJIs/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/5zKqbtyPJIs/hqdefault.jpg",480,360,"NBA Funny","none",2998711,21580,674,0,432
"1010","PXFGarWDrEE","2019-11-18","UCiWLfSweyRNmLpgEHekhoAg","lebron james puts on a show as kobe bryant sits courtside 2019 20 nba highlights","LeBron James goes for a double-double with 33 points and 12 assists while knocking down six 3-pointers to push the Los Angeles Lakers past the Atlanta ...","https://i.ytimg.com/vi/PXFGarWDrEE/default.jpg",120,90,"https://i.ytimg.com/vi/PXFGarWDrEE/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/PXFGarWDrEE/hqdefault.jpg",480,360,"ESPN","none",2772687,13766,388,0,1403
"1011","uy6IMh3xuTA","2019-10-05","UCjq5kACCh5V056h3BoONBUA","<U+3010><U+30D0><U+30B9><U+30B1><U+795E><U+56DE><U+3011><U+4E16><U+754C><U+6700><U+9AD8><U+5CF0><U+30D7><U+30ED>!nba<U+9078><U+624B><U+30B7><U+30E3><U+30D0><U+30BA> <U+30E0><U+30CF><U+30F3><U+30DE><U+30C9>vs<U+3068><U+3082><U+3084><U+3093><U+306E><U+30AC><U+30C1>1on1!!tomoyan 1v1 vs nba player shabazz muhammad basketball","<U+3068><U+3082><U+3084><U+3093>#<U+697D><U+3057><U+307F><U+306A><U+4EBA><U+30C1><U+30E3><U+30F3><U+30CD><U+30EB><U+767B><U+9332><U+3057><U+3066><U+306D>#Terrific12 <U+30B7><U+30E3><U+30D0><U+30BA><U+30E0><U+30CF><U+30F3><U+30DE><U+30C9><U+9078><U+624B><U+306E>SNS Twitter https://twitter.com/ShabazzMuhammad instagram ...","https://i.ytimg.com/vi/uy6IMh3xuTA/default.jpg",120,90,"https://i.ytimg.com/vi/uy6IMh3xuTA/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/uy6IMh3xuTA/hqdefault.jpg",480,360,"<U+3068><U+3082><U+3084><U+3093><U+3010><U+30EC><U+30A4><U+30AF><U+30EC><U+3011>","none",1104310,9405,378,0,755
"1012","VCIKek1f-Hs","2019-09-23","UC3L9XPe0_FGfRG-CMGtBvFg","8 unbelievable charts that will change the way you see the nba","Music provided by the talented LCS Beats: https://www.youtube.com/channel/UCc-LuGddmv1ETE5X-UiN6iQ Follow me on Instagram: https: ...","https://i.ytimg.com/vi/VCIKek1f-Hs/default.jpg",120,90,"https://i.ytimg.com/vi/VCIKek1f-Hs/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/VCIKek1f-Hs/hqdefault.jpg",480,360,"JxmyHighroller","none",4620433,102527,3224,0,7578
