title_length,description_length,viewCount,likeCount,dislikeCount,commentCount
8,23,116595,4039,163,477
10,28,1256,60,4,8
17,23,149082,13846,1000,3242
6,22,219613,1289,391,631
11,25,110919,1039,67,76
7,24,675947,13926,392,635
10,28,1772230,32983,798,761
9,22,9752716,60717,3491,1620
12,19,4270842,45670,3605,1952
8,35,245923,4596,108,271
12,23,102685,1698,48,209
12,24,195901,2103,36,275
9,15,528051,1928,80,828
8,27,26192,490,13,49
14,23,139406,2981,160,426
14,21,14394,228,7,121
14,34,626223,8095,263,479
17,27,111985,1677,83,92
7,24,809,55,1,47
8,29,58434,639,57,78
8,18,179117,3325,375,522
9,22,259968,2598,142,265
9,29,1484795,3642,597,NA
11,16,25074244,301880,8482,9048
10,19,6276,159,8,74
11,28,227360,3512,164,280
12,34,140776,2647,70,338
3,35,1074309,11034,5603,2089
11,27,1661487,26427,774,1839
16,25,91721,1451,64,93
7,22,7519,289,15,109
18,28,22813,283,7,114
8,26,858,54,12,42
10,25,1329602,13864,10864,15376
9,28,48781,867,20,196
16,30,21443998,473932,9367,14131
10,26,4579939,70047,1950,3467
15,29,1290773,39330,1880,2417
15,25,112146,3348,109,84
8,24,48627,331,26,30
11,12,54,1,0,0
8,32,45695,732,28,29
13,29,187788,5037,289,906
11,29,34308,355,63,59
3,28,739020,14340,821,3051
9,33,430530,6077,318,525
9,32,103,NA,NA,0
10,22,154403,1669,82,140
16,19,6543263,33479,3038,1081
12,25,199991,2391,2187,657
9,18,9570797,180906,7331,7499
8,26,1134474,15117,863,4072
9,33,104570,1772,91,340
7,29,139599,2790,302,457
9,29,4209892,19903,2673,395
9,25,223414,4412,115,720
9,20,77553,278,118,94
6,25,83304,954,270,144
10,19,9385190,90386,3664,2728
17,26,135886,3692,193,141
8,28,111585,1158,126,600
10,25,369105,8143,387,966
5,27,4844538,90459,17626,9866
5,25,16837,429,40,43
7,30,239375,4082,226,843
8,21,142235,6158,143,655
6,16,295,1,0,0
8,25,30033794,303188,9342,10624
6,27,1825029,49015,2892,1509
8,25,420784,9262,338,1448
14,26,31218,689,59,88
7,34,17080311,37137,7018,2501
13,32,557874,4001,264,505
10,22,868971,19870,371,1172
14,25,205933,1612,166,379
10,18,173754,1457,79,137
13,30,16561,520,20,131
14,25,2164150,8773,1668,218
11,24,33135,366,22,208
9,25,107135,3416,273,1419
12,23,33800,340,46,123
6,30,283424,2028,145,121
13,28,174703,1458,130,427
11,18,241518,10577,126,445
13,26,103420,1222,104,65
12,25,135906,949,102,47
8,24,50378,779,141,123
7,29,14622,201,8,34
24,25,649598,6160,174,756
10,4,15053,38,2,16
4,21,18767365,59727,5561,2877
12,30,139217,2919,90,1052
10,30,252951,3873,202,675
8,2,156222,NA,NA,30
14,30,58317,1022,21,56
24,25,350968,4480,143,153
11,33,22197,429,28,88
10,23,75210,1669,75,191
5,7,64620,1826,82,NA
10,15,1153874,7698,637,419
11,26,23829267,463776,5020,98224
10,30,44195,545,39,101
8,23,186711,7587,143,679
6,26,3885190,117355,6670,7401
11,29,15782571,33586,5593,696
9,23,239436,929,52,129
5,22,235825,1553,922,693
15,28,76774,729,86,416
11,16,142926,563,56,94
