title_length,description_length,viewCount,likeCount,dislikeCount,commentCount
16,22,538019,8796,166,75
9,29,2228169,95692,2690,5451
5,0,91226,1233,94,0
13,19,12081923,55423,7153,1352
7,15,1358658,13242,386,1345
10,27,981538,50330,195,1862
9,25,1833975,72645,890,3607
7,25,1707826,43719,2979,10184
15,25,945681,8290,560,574
4,26,667,31,1,0
19,26,2797776,26433,1651,443
8,28,426614,13778,160,661
19,22,737071,19637,300,672
9,21,927306,33374,322,1605
8,31,2351321,140266,667,16467
4,24,81633,1950,147,407
9,29,309585,7716,95,207
11,27,778615,12833,884,1157
9,25,613853,25294,431,1369
8,26,294068,3519,89,781
8,31,26067,402,8,NA
12,25,130764,2690,100,375
9,15,2023802,16137,504,702
6,28,49814,1340,37,120
13,18,2119621,34775,2319,648
10,27,3179925,207451,8330,10714
21,19,249628,3019,308,64
11,28,3429651,8334,1102,256
15,21,940125,3117,256,49
7,28,5711630,25630,2817,626
8,19,275269,3798,137,111
7,25,5038153,24418,2537,3487
11,26,2845642,14445,1676,332
11,23,172130,2877,61,31
11,26,601255,16154,125,1137
11,20,1281826,21966,424,120
6,33,95110,4330,46,180
8,19,1160693,17537,1352,326
11,28,1819184,4008,609,128
5,26,63738,588,38,130
17,55,510670,10743,253,278
15,3,590017,1385,145,48
14,18,141379,2652,37,58
16,14,487025,5031,1191,300
9,28,2460579,99175,1159,2776
7,22,39773,1254,17,37
9,18,1779856,45852,1007,1942
9,26,858142,27691,410,1186
57,63,127245,3520,77,133
7,19,749232,10936,283,106
13,28,347743,3607,266,444
10,23,230129,7573,338,374
11,24,6346764,13059,1899,189
10,20,586888,1285,155,16
41,115,198188,2033,28,115
11,22,561569,7249,163,316
14,23,176383,2329,119,142
9,24,465485,15617,767,3458
9,18,1057231,31753,604,2439
13,25,7554519,82627,4160,1347
15,27,313995,2368,143,569
8,20,1209870,9635,422,158
12,23,397568,5305,496,170
11,24,174360,5521,107,512
15,26,1892780,39446,1380,NA
14,27,1250983,17575,363,808
12,32,36174,1001,42,175
5,0,252,2,0,0
8,24,48729,1292,25,52
9,2,2326682,6124,978,122
10,22,2156160,37802,1785,5376
10,21,9212605,54343,4614,591
6,24,9456032,139498,12589,2316
9,22,1485841,24222,381,1053
5,28,466243,5667,196,851
10,23,44962,1703,21,99
19,28,596262,7809,359,230
9,29,519002,7111,258,88
6,29,232324,4331,125,38
15,24,1633969,23939,1103,1299
23,59,45525,744,19,34
6,28,31296704,21858,11620,803
16,28,396782,2018,108,343
6,25,102762,2098,53,28
10,25,210921,6150,248,1536
9,27,1292312,3247,361,65
10,19,950897,16362,289,152
9,49,2827752,6704,861,59
9,18,757162,1840,197,31
9,27,149356,128,7,7
10,28,3023653,15205,1573,300
8,18,479016,7153,589,128
9,23,1034758,31161,803,1663
9,29,7497691,168268,6574,6027
11,22,847697,9168,359,116
12,18,131981,2286,37,65
7,26,426361,5779,117,305
10,27,1130113,8279,484,148
9,23,739365,6677,295,229
12,12,3168783,6608,1018,106
8,24,7233749,38843,9168,153
14,24,1710641,3578,373,70
14,30,250863,11475,426,687
8,26,611131,14530,205,1177
10,24,187333,10448,104,418
9,30,506453,23748,788,1835
8,24,790438,45647,550,1001
4,28,194,4,0,1
7,60,639149,2924,317,NA
13,26,350567,6128,372,148
9,30,170973,5766,106,257
7,25,625,37,0,4
5,0,1846,1,0,0
14,31,171774,7289,83,160
12,16,3210629,19281,3968,315
3,32,965,1,0,0
17,27,2570,50,1,0
4,28,1830,5,0,0
3,24,2744,22,0,1
3,26,180,5,0,0
5,0,27417,7,0,1
12,24,3598422,13581,2005,215
15,29,1224946,7052,851,870
5,29,1702,4,0,1
12,29,51617,179,34,23
10,3,383153,2796,257,57
7,21,330,2,0,0
10,29,3889218,133700,1279,3239
10,30,490408,4179,168,157
3,29,1139,160,2,13
8,12,2013,1,0,0
20,148,136889,6,1,1
10,25,2142,55,1,0
3,28,18262,1,0,0
8,22,72457,6,0,0
7,26,657,39,2,2
13,3,365418,959,165,20
11,28,433895,1645,209,30
4,22,861,2,0,0
7,26,393,6,0,0
7,23,391,1,0,0
8,28,387793,20554,304,891
5,23,666,3,0,1
5,25,875,23,0,8
6,10,2535,4,0,0
8,28,911,3,0,1
7,20,514,6,0,1
5,23,781,1,0,0
8,25,178434,1188,40,19
9,25,57652,1053,24,50
4,0,17645,7,0,1
7,25,1164,6,0,5
3,0,803,1,0,0
9,26,2870,11,0,1
7,27,1562,38,1,3
4,26,9319,52,6,0
5,26,52266,444,28,6
7,83,431697,2112,366,0
28,59,30452,2,0,0
3,25,742,16,0,0
11,4,6812,94,4,6
5,24,2310,1,0,0
3,23,827,2,0,0
9,16,24330,948,36,56
5,6,5549,0,1,0
3,0,2054,0,0,0
7,23,416,5,0,0
12,19,1907,74,5,210
14,13,127683,2648,60,43
11,25,371941,2,1,0
10,23,435,4,0,0
9,32,32732,5,1,0
12,22,2461,8,0,0
15,26,6007497,12,6,0
