Title length,Description length,View Count,Like Count,Dislike Count,Comment Count,month,year
9,26,978070,42263,1589,710,2,2020
38,97,45648912,193139,53383,2449,11,2019
15,29,27943564,79376,22154,1112,12,2019
10,28,1276440,49313,900,1464,2,2020
12,22,97493,2028,158,249,3,2020
10,29,35108,1413,32,40,2,2020
15,29,5035872,23752,2619,289,11,2018
14,21,368359,15254,833,994,3,2020
13,25,229046,5685,845,290,3,2020
9,22,7946183,157243,4616,8542,9,2019
40,26,19648163,93053,24447,675,2,2020
8,22,123869,2668,56,60,2,2020
34,95,115645,2994,261,263,3,2020
43,95,9448556,49950,9822,973,1,2020
12,23,2256970,8958,1765,152,1,2020
4,19,1893631,38860,1384,2701,1,2020
14,25,521365,2343,488,73,2,2020
50,118,27123198,120835,29738,2332,1,2020
9,19,397129,6180,800,218,3,2020
15,19,11337915,39137,9205,652,11,2019
10,26,1013392,14774,434,783,1,2020
25,44,5762138,21212,4930,378,1,2020
68,7,50434,187,47,4,3,2020
32,120,12219086,56030,11901,1165,12,2019
42,23,10840794,67860,11908,836,1,2020
19,12,195127,1957,130,27,3,2020
19,20,678473,2068,333,29,3,2020
7,20,6884865,21424,1646,763,6,2015
6,12,1519747,69536,1282,1221,3,2020
52,91,44076343,154545,53553,1200,2,2020
8,0,4082690,23825,2949,890,8,2014
13,25,6040638,50999,6502,1073,12,2019
11,27,2269748,62336,1039,2197,9,2019
8,25,443701,6956,705,219,1,2020
7,30,3948170,73317,2413,3541,1,2020
10,17,49695,1377,216,342,3,2020
57,62,1374150,12367,1104,141,1,2020
12,20,12820213,46585,14802,442,1,2020
11,24,4643087,52325,1826,1325,10,2018
8,8,9191540,114024,11237,2131,2,2020
14,27,30069412,88382,23169,2075,4,2018
7,19,636898,9229,1178,310,3,2020
9,26,96861,4038,257,327,3,2020
15,26,556998,9213,265,213,3,2020
7,32,675098,24415,635,325,1,2020
8,30,80317,3097,86,223,3,2020
8,13,1377512,2415,227,117,5,2012
9,24,44054,2046,42,27,2,2020
12,23,3466324,10474,2619,201,1,2020
10,22,3935763,71031,1458,2134,10,2018
86,121,18110465,248790,15375,3997,7,2019
15,29,8492360,27747,7376,350,12,2019
10,28,5374539,20636,4690,341,2,2020
56,69,11466224,54573,12737,1335,1,2020
21,26,527723,2294,704,47,1,2020
33,21,18595594,76895,21615,775,1,2020
73,78,4578703,24036,5731,457,3,2020
11,32,83794,1252,67,72,2,2020
15,27,566650,14309,624,579,2,2020
10,24,55785,2956,85,80,2,2020
10,22,509413,18541,283,538,2,2020
8,25,5724,564,10,6,3,2020
7,22,14720,410,95,53,3,2020
36,73,79449865,263714,102470,1377,1,2020
45,118,16258031,65905,15026,1688,1,2020
14,8,178861,NA,NA,35,1,2020
42,120,4132290,25224,5325,865,3,2020
53,20,471909,3181,191,53,2,2020
