title_length,description_length,viewCount,likeCount,dislikeCount,commentCount
12,29,332719,12890,426,499
10,23,56,NA,NA,NA
13,26,32781,2894,40,129
7,31,258894,10101,1036,1270
10,22,510,49,2,6
8,23,192975,20125,178,2226
13,82,847,49,2,11
10,72,11471,200,8,26
11,23,128922,16503,158,2330
20,33,47964,2062,31,27
9,23,416846,29426,469,5522
9,27,175479,19455,203,2748
7,32,3901907,39582,1769,1924
9,26,520,45,7,3
10,20,2578,151,10,67
9,29,102690,2607,87,390
6,32,1691441,64676,1439,8620
12,21,2534,NA,NA,NA
11,32,35601,1064,32,69
40,24,86318,4745,127,680
12,21,4712,NA,NA,NA
5,21,78766,786,48,245
7,26,127842,718,37,302
12,29,312270,22158,348,1320
15,74,22089,328,18,41
7,27,1376525,43803,1556,NA
8,29,356039,10898,307,418
14,34,106992,3845,240,348
12,36,287456,10468,284,1734
10,27,233603,20023,286,1280
6,26,543402,5532,119,769
9,25,174496,2799,109,560
12,23,9173899,36436,3669,477
7,25,27000,21,18,NA
11,21,98687,7313,146,579
10,23,106,NA,NA,NA
11,19,68560,4386,325,2019
11,25,33455,443,56,70
4,42,47719,1344,74,62
14,30,24240,1166,58,168
14,29,171684,19392,166,1384
8,25,589667,41905,905,4273
11,44,360379,4982,196,366
8,27,127876,12532,144,2174
8,25,85330,3361,61,353
8,25,246907,20294,284,1771
4,0,246417,513,59,68
11,23,131,NA,NA,NA
13,26,11699,349,9,34
6,29,137838,519,17,14
7,28,173375,18001,165,2445
10,23,105,NA,NA,NA
12,27,172310,16608,236,1175
20,48,10086525,191180,13128,12160
8,24,370782,28003,343,2434
6,27,9413975,59047,2763,6210
12,28,1317214,138482,852,21885
11,21,237244,21438,194,2110
6,33,5126755,21917,2158,176
10,29,654392,38929,663,8644
9,25,809303,56723,815,3499
13,23,12771,2342,27,110
25,48,13443992,149293,15474,7446
9,23,121720,12840,147,1609
10,26,172006,22862,173,3013
5,25,174482,16638,211,1540
6,22,309606,27624,463,3605
9,25,5088,12,0,1
12,29,140747,14441,142,1076
12,23,3968961,124840,3484,5313
31,30,258382,10485,953,901
12,33,80678,3389,261,242
8,27,307753,24128,323,3568
10,23,4972,381,9,70
9,24,207738,29552,239,3540
7,29,203652,16196,230,3043
10,29,152310,6607,75,523
13,26,307912,29439,346,3524
7,27,177367,15481,178,3654
5,31,40044,1535,44,231
9,20,1273,164,5,34
9,29,2124559,67351,2976,3549
8,25,453953,30913,414,3840
15,29,692611,15401,865,1106
11,32,7896,332,9,127
5,22,8322,378,14,36
11,49,93877,1872,69,155
12,29,296221,7360,457,551
11,20,421918,32285,511,7512
13,26,93578,10843,129,184
96,85,6705,452,13,154
8,25,62262,1152,235,140
12,23,1032,NA,NA,NA
11,23,119159,5676,165,196
15,25,1053,109,11,63
