title_length,description_length,viewCount,likeCount,dislikeCount,commentCount
11,24,633205,19736,355,2025
8,27,608583,16465,281,2024
9,25,45019,1076,21,4316
12,25,350533,9082,189,2256
7,28,68136,3923,85,533
10,24,128671,2445,30,234
10,22,241858,4586,70,438
8,24,1221917,35213,575,4996
8,28,45010,1282,35,46
7,26,351688,6728,187,1112
5,21,180212,3505,52,512
11,26,166230,4250,127,1051
9,28,154190,5099,186,1152
4,21,264390,13074,155,1363
7,27,1938700,20096,1007,622
10,27,4569691,41586,4768,5996
10,31,298177,1974,192,75
2,25,3702698,152932,1716,7532
91,27,791929,42267,1896,285
5,16,2557923,10883,531,320
7,31,1921347,28721,1394,798
8,23,246239,14301,181,893
15,26,682152,19383,472,2089
7,24,175514,26015,213,2962
13,27,32467471,99769,56952,314
18,27,676498,7471,408,235
13,28,91157,2635,92,712
10,31,186671,3362,273,709
13,19,1219795,20591,1064,533
5,30,858814,16345,527,446
11,29,470495,5101,1222,153
12,26,18120,640,157,80
11,26,441583,2871,391,1650
7,28,93631,2775,115,324
10,25,523182443,960454,500776,NA
6,25,3177218,27425,1201,1147
5,16,409123,15678,374,96
12,26,146473,2840,80,173
11,27,26109635,59901,25357,NA
11,29,476982571,1652547,924001,0
6,29,4800256,114820,2297,2561
7,29,24598,514,167,139
4,29,371186109,251481,140671,NA
9,23,3387173,68573,1664,5881
14,25,243849,1372,82,198
16,30,9159293,29142,12026,NA
11,26,1172877,12989,485,565
15,30,18532672,85854,47148,593
10,29,11855845,139283,4124,9876
9,29,12037041,111438,4501,9570
16,27,983046,8321,750,342
7,32,6737233,125657,5999,6062
5,27,3151257,66861,1569,1129
13,26,26445693,251860,12754,9849
5,20,75556,5741,42,1532
20,25,20572358,94680,6104,4513
23,28,6808683,75612,2769,3163
15,27,397515886,746050,392141,2407
8,23,398163,30841,3292,5466
9,31,124387790,140973,101955,324
13,29,12496013,48236,27467,0
12,34,4659402,17951,9434,0
12,29,83019,2697,185,412
11,24,21627615,122182,74459,0
20,27,3203391,18854,1197,721
14,30,201344,10,0,2
21,28,3464183,16499,1268,501
18,26,21812259,183904,4025,6495
6,29,492598,537,86,67
10,24,53591744,199949,116324,1421
5,21,78559271,411185,16476,19728
5,31,3241764,41397,1791,6469
7,25,708225,3752,960,68
31,28,1821949,67751,772,5633
9,16,7087773,22033,901,1986
5,24,7301000,159257,2683,9211
7,31,1463351,18076,1170,1271
9,25,3405752,23236,2544,346
8,27,8575360,39694,1183,1973
18,24,21889337,189754,12370,5500
8,31,144348548,114275,69648,940
11,28,309448,46374,172,2824
9,33,32007168,97210,57510,420
7,32,1384248,NA,NA,3230
9,25,1514094,39352,701,2591
7,24,6364976,70959,3262,1699
15,26,141385,1072,65,NA
14,28,7935996,44251,2837,2771
15,29,187465470,262152,171977,1427
5,23,81290523,436567,20380,18256
10,31,34528470,79193,39997,NA
8,17,754925,25425,485,2586
10,30,118012134,106164,51050,1256
4,29,109958382,341296,232302,0
12,24,25281388,744195,13561,32937
11,29,1130671,9516,2125,196
7,22,68257652,244860,7629,10780
6,115,30658,1783,30,90
3,3,11647681,91531,6810,7016
9,23,4187865,127354,1577,1489
14,26,4659035,NA,NA,NA
10,28,6177441,81899,5386,16938
12,19,67705,1343,19,87
2,4,42884,213,4,20
7,28,1725254,37811,1082,795
6,21,942448,24735,461,0
17,19,12729112,34521,8930,287
11,14,148308176,349994,200599,0
5,27,5398018,22213,562,660
10,26,4720096,157778,2315,10595
13,25,10471265,99241,6418,3499
11,26,671942,22555,199,1874
11,29,520250,5157,1102,146
12,29,61765705,178409,91911,0
10,27,1871233,55692,566,4929
16,25,47992,375,22,136
11,26,827380,19755,149,877
12,25,16510218,77033,41283,592
15,33,26577,221,3,34
11,29,3258205,73144,3539,8106
13,29,23850663,90154,45566,672
5,30,28782058,306586,9584,8338
8,27,83498,296,8,126
11,27,5012574,147607,2426,6540
4,27,192214,3349,110,149
6,24,23266237,131868,3415,15332
2,15,658404,280,133,NA
14,25,12716027,336948,7397,15879
14,34,1262732,4615,273,250
9,35,37866,1256,39,392
10,18,24435,463,9,23
11,26,62466431,1782624,24237,104813
9,26,58581,6,7,0
7,23,52319,45,4,3
15,18,249733,611,336,0
8,27,88945,502,58,19
10,25,147330832,901068,22892,44047
6,7,50480,299,2,20
10,29,42455986,653362,16961,37453
9,22,1712800,41776,1029,3021
13,28,69458905,107251,54757,NA
3,21,2248954,22239,250,788
7,25,439639,21060,220,1410
10,31,594669,15335,374,0
4,25,668517,1936,59,250
5,26,13531740,407246,5794,48721
12,26,376172,914,75,77
7,26,498338,2871,260,135
3,32,30735164,198554,4958,2261
7,28,1282781,25040,495,892
11,28,63451,184,93,0
2,26,688022,82,20,2
4,27,3564247,50024,470,3036
18,33,68975958,351561,13270,15481
7,27,9959265,37189,1690,1799
5,21,18706738,133578,2432,2899
6,13,136325404,1406128,33795,82266
13,25,614604,630,254,NA
6,22,615692,1101,49,165
4,4,265073,295,12,21
5,20,11530981,54022,1173,6789
3,5,351096,4580,116,46
5,33,34218168,229205,6173,4547
10,0,1582,25,0,NA
11,22,1088890,4346,385,800
9,30,6767,152,0,21
4,27,116764,48,17,0
6,20,141346,1734,13,293
12,27,1864413,26364,1279,4453
13,30,10842,73,31,3
3,10,551268,1308,77,80
6,22,1120169,1188,132,302
8,9,114407,21,7,3
5,23,350318,632,29,189
5,21,41133940,258833,9898,5200
9,0,37332444,200688,6426,6160
5,24,45749,773,52,NA
5,19,352907,11312,228,371
2,2,20951,11,2,3
21,25,28180668,63350,38041,268
7,28,1226136,8714,2482,270
4,19,34103,44,9,17
9,31,52270,311,6,7
5,12,2756669,7303,1510,NA
5,4,17975483,78081,3845,1808
12,26,1755369,26024,510,840
3,26,15310,52,36,22
10,4,370023,4427,113,741
3,9,29964,51,0,21
6,13,218089,534,31,16
8,0,615950,23499,223,722
14,18,6995941,18509,9410,141
15,28,2523,8,1,2
15,22,264442,4,1,0
11,28,83985,217,86,0
7,28,68605,259,123,0
9,35,179535,221,40,40
7,21,116601,114,44,34
9,21,114135,143,5,10
9,0,16270,138,0,9
10,12,176329,414,6,32
9,25,12519,22,5,0
10,27,24021,17,1,5
3,12,20609,26,2,0
10,20,7271676,1180,820,58
7,29,404460,10196,417,543
11,29,5713640,44054,8934,881
15,20,6552853,31617,1607,464
4,32,15663814,90163,1792,1234
