"Title","views","Publisher","Time","Duration","Like","Dislike"
"Rohff - Solo [Audio Officiel]","502,226 views",,,"3:26","21K","477"
"SEB - Antistress (Freestyle Video)","1,096,456 views",,,"3:56","129K","3.1K"
"DADJU - Bobo au coeur (Clip Officiel)","3,106,572 views",,,"4:04","117K","1.9K"
"Naps (feat. Soolking & Kliff) - Poropop (Clip Officiel)","4,093,247 views",,,"3:23","118K","3.1K"
"Groom - Season 2 - Episode 2 - Two hats","242,910 views",,,"26:41","8.5K","131"
"DÉTECTEUR DE MENSONGE EN COUPLE ! (ft. JujuFitcats)","2,370,735 views",,,"13:01","123K","2.7K"
"TU T'ARRÊTES, TU ACHÈTES avec @FastGoodCuisine","1,511,953 views",,,"13:02","111K","1.7K"
"BRITISH TEA TIME 🇬🇧 Ft.Johan Papz","713,293 views",,,"12:51","78K","411"
"LES CONS FINIS (parodie Anthony Joubert) av Charlie et Sty'lo","511,461 views",,,"3:16","17K","217"
"Diddi Trix - Quoi d'neuf (Clip officiel)","362,916 views",,,"3:27","30K","733"
"Hatik - Baguette Magique ft. Médine","872,317 views",,,"3:04","34K","639"
"DANS LA MATRICE DE LAYLOW (Analyse Trinity)","309,030 views",,,"19:19","45K","186"
"Dua Lipa - Break My Heart (Official Video)","14,418,669 views",,,"3:49","969K","13K"
"MANGER un MAXIMUM de TACOS en COUPLE !! (+ Jeu ""QUI DE NOUS 2 ?"")","1,400,160 views",,,"19:28","93K","1.7K"
"BENZEMA ET HENNI DÉBAT SUR VALERE GERMAIN","1,078,174 views",,,"9:01","52K","998"
"Bosh - Business (Lyric video) ft. SCH","1,176,572 views",,,"2:29","36K","458"
