"Title","views","Publisher","Time","Duration","Like","Dislike"
"Dobre Brothers - You Know You Lit ft. Lil Pump (Official Video)","3,730,150 views",,,"2:32","172K","67K"
"Rod Wave - Pray 4 Love (Official Music Video)","6,148,504 views",,,"2:59","125K","3.1K"
"Best Of Michael Blackson 😂 Come Backs, Funniest Disses, & MORE! | Wild 'N Out","3,266,995 views",,,"16:47","73K","1.4K"
"Never Leaving My House Again...","7,977,813 views",,,"17:28","375K","13K"
"Ovi x Natanael Cano - Pacas Verdes [Official Video]","5,667,257 views",,,"3:18","211K","6.3K"
"Sen. Schumer Breaks Down Massive Coronavirus Aid Package | Morning Joe | MSNBC","1,001,009 views",,,"16:52","8.5K","1.7K"
"YoungBoy Never Broke Again - Unchartered Love [Official Music Video]","10,957,155 views",,,"2:55","273K","7.6K"
"The Weeknd - In Your Eyes (Official Video)","6,486,285 views",,,"5:41","396K","7.5K"
"EASY TikTok Life Hacks To Do When You're BORED! **they actually work**","2,715,582 views",,,"16:39","118K","2.8K"
"The Try Guys Work From Home For 168 Hours","2,354,270 views",,,"25:44","122K","1K"
"FAVORITE TIKTOK STAR @ADAMRAYOKAY TURNS US INTO ROSA!! *HILARIOUS*","1,275,330 views",,,"14:37","85K","2.1K"
"Ice Cream Taste Test Tournament (Day 2)","1,479,360 views",,,"15:00","45K","958"
"Nightly News Full Broadcast (March 21st)","2,908,152 views",,,"18:42","16K","2K"
"The Coronavirus Explained & What You Should Do","18,338,830 views",,,"8:34","772K","8.5K"
"Yo Perreo Sola - Bad Bunny | YHLQMDLG","48,016,092 views",,,"2:52","702K","13K"
"Trump, Coronavirus Task Force answer questions in press conference","1,083,157 views",,,"40:19","9.9K","1.6K"
"President Donald Trump and Coronavirus Task Force Hold Press Briefing | TIME","1,663,803 views",,,"1:13:40","7.3K","2.8K"
"We're Sorry....","1,839,564 views",,,"20:47","85K","23K"
"Lucky People Having The BEST DAY EVER","2,065,553 views",,,"10:06","69K","2.8K"
"Recognizing Ignaz Semmelweis and Handwashing","55,556,112 views",,,"0:50","Like","Dislike"
"What Coronavirus Symptoms Look Like, Day By Day","12,008,201 views",,,"5:18","172K","4.5K"
"WATCH LIVE: Senate debates, votes on $2 trillion coronavirus bill after landmark agreement","1,575,573 views",,,"11:55:00","7.4K","2.2K"
"How To See Germs Spread (Coronavirus)","11,236,569 views",,,"10:20","444K","6.6K"
"Game Theory: Death by NIGHTMARE! (Try To Fall Asleep)","1,680,733 views",,,"16:04","77K","1.3K"
"Community Cardio with David Dobrik and Kevin Hart","4,412,136 views",,,"0:03","192K","2.5K"
"HILARIOUS PREGNANCY YOGA CHALLENGE!!! **WHOLE FAMILY TRYING IMPOSSIBLE POSES**","2,556,713 views",,,"14:45","148K","2.4K"
"The Tonight Show: At Home Edition (Trevor Noah, DJ D-Nice)","1,501,967 views",,,"27:16","30K","647"
"I Sent Preston Back to First Grade","2,682,859 views",,,"18:36","65K","3.8K"
"How to SEW a Medical FACE MASK // TUTORIAL","1,933,194 views",,,"6:19","30K","1.1K"
"MAKING NUT MILK *COOKING WITH EMMA*","2,637,938 views",,,"11:41","178K","2K"
"James Charles did my makeup!  |  Charli D'Amelio","3,697,724 views",,,"10:59","251K","3.9K"
"Eminem | Hotboxin' with Mike Tyson","4,497,686 views",,,"47:55","142K","2.6K"
"The Tesla Model Y Is the Tesla Everyone Is Waiting For","2,192,799 views",,,"32:36","50K","2K"
"10 Products You Can Customize For Yourself!","1,214,325 views",,,"23:59","83K","905"
