video_id,duration,viewCount
lP3OJfYuHCk,17.41,395818
E4bgEs0zYyQ,16.32,676116
PzQORLyBCI4,nan,1329824
Q1hlgLqK-yA,25.16,680883
4liKhzfrsP4,1.19,277447
r1sfb0gKdBM,12.36,139218
oHOudL5d14M,1.04,33480
E3b62-R7GzI,21.48,4581488
iFPWdc3PMBk,1.31,186765
fZDkAipc40A,3.31,239375
FAscL5xuO68,11.28,719354
JBaK7BjrrBA,10.36,435319
jq-ccYcyWqI,0.54,186711
aeUFmFnKsQQ,14.58,626387
qAhKgMcMhIA,32.45,2697647
CC3HI6FgnX0,9.2,306371
qbNSWiBnu2s,11.34,208019
0sckFvub-K4,1.11,528058
mSpXxxld4o8,10.36,43160666
lINZ0Y9nIeA,10.09,143744
_MVzXKfr6e8,3.02,2123106
73IVLtTK13s,19.22,471349
jFXScHIkpkA,5.18,77620
Qh7DhW5KxXg,13.23,194192
fyKpMSTv7z0,13.24,165582
PE-yR_craa0,6.41,154455
LA7T0GSjzg0,3.34,18770365
LjzMq3l8sVw,8,739212
DnBnTGjTmsw,5.12,17994
QF-2MKSrrZg,15.56,169962
8cR_1Qi-tP4,59.22,5398169
ta2KBoy_G5c,10.33,9386020
_D9FgRBhmWM,0.32,537528
atWzWqGN9Vg,16.32,206002
dBsFdEs9LnU,20.22,33153
Zg3j6anDU6U,20.25,3101639
8Rjiqa7Ws0k,5.29,49124
D-6cXKQgp1E,10.15,17767471
cVQt3fiiOXg,7.51,45777
3OMhdAEs1Wo,15.37,34308
erhkZBAqHkY,1.14,122144
PYB80LH7fy4,1.37,235835
6ADah-h285k,0.24,322724
QOYMk9tb_iE,17.14,175360
wppv4riURm4,12.19,22198
WcATgOupD7I,2.19,80296
FlZNwt3m2Es,18.2,255915
pVqWRyRuoQ4,nan,95528
NU04kMTvYtc,6.1,101019
d__X3nROGo8,11.24,1989254
Fqk2xTWZ4vM,11.24,227454
KslfbjMzjGM,10.26,76886
yWDYj_46NRY,3.42,7912371
-HK_X7PzslA,10.04,89535
MIaL1jHaZyk,10,2046594
lc4d42crnMI,17.39,40069
avbzTvIgOEs,2.54,239493
xhhENspVY3Q,14.27,420837
ax1csuZ6xTo,0.33,69963
dWq6ERi3QUg,nan,129734
uKsFs8ryBJw,1.44,116598
x-_QCglic14,0.16,2512000
DPdNFzw7gec,2.49,8056468
BYXv9XJc5z4,18.19,260062
5_hHipj3Nzw,2.03,378857
WHXkETmG4Lg,6.44,374076
tj8mQtcqwyM,10.08,717050
R-QPs5abSsQ,15.39,626109
lfSgHueWGyk,5.47,543039
CYzY4s_Y0r4,nan,516473
unocKIwBS6M,6.19,136034
JvvZ0G6n-g0,9.39,811427
vUyXa1SOeXQ,10.22,9760556
XXJpeMWtDT0,13.31,320604
fUxrMeuscIk,14.27,139420
f2hQn7Hd7fw,0.5,448705
km8bc_oBRgk,7.52,465414
HzW_kD8gE0g,3.18,2758212
RCeGBzux2VU,0.46,39311
VYMdlCEDYvo,34.44,666577
jqfxOgpGh3M,4.51,156465
kOLHin-LsZc,26.03,1053364
MHbL8YvDWEk,25.4,83895
aRS5_a21PDg,4.05,1313192
qvGWM6rv27U,34.43,78650
68m9_iWwHZc,11.35,468046
EbGCauq8Lrs,37.44,125142
Cy_ZTQqNG1Q,12.06,688287
BRCs7yX372Y,10.45,9572380
77kJEVrQPsM,11.13,23521
AbCMLL_ob78,16.05,174739
fs38PSnMyHI,3.59,31219
ZLrtNIYcmiE,2.07,2815756
7rQpIcjs86U,10.11,149853
cX-4DicL_QU,1.22,177704
9e1iDo6nYNs,12.37,133872
9cqb5rbKbVo,14.37,149770
4BIDXxmZ-P0,3.46,1134818
_JVQOiw_OUU,3.17,291234
MmQLEhcmIIY,2.06,1739133
aG6l00AuXrA,21.15,666239
DYFPrmRgBO0,7,48786
y0r5t3hfoZY,11.01,369364
szPez5q2mY0,34.35,4211494
hKXVIE3t7_s,2.27,323312
lCxWp3u27g4,5.35,112188
R0clWQjPVSI,5.17,156572
YmicVgAQAP4,10.57,104573
uJucvI1sBho,3,1153972
M8Wm2GnzHK0,10.48,150606
cZvxZ3kCS5Q,11.56,188988
ShqXL-zfLxY,1.25,31559915
e8Ir3cmq7UE,11.28,64642
mKHmT4chv9A,11.59,142933
htUb_YIRUUI,11.19,199995
lkC40hWjuqk,1.34,1450
Wh3ZDBg5SmA,11.55,33848
bIGjW5hw18w,0.53,38306
-t5YFl-3HDw,1,105077
TpmK7YyjZh0,24.39,68257
evpuRHtTUi0,2.06,1990336
dgGlyjBNvOQ,13.31,809
ejs-rQjP_s4,2.06,1245446
D_uMIiXQ654,4.17,351036
f2HTg3Ht8_E,6.18,121501
WD6JK6oEOIE,40.15,287078
XeSDMlvOgNo,13.22,28143
_rjjCkcXknE,15.38,1550669
k-2642UDvKw,8.46,22832
F0AG5WukwFI,8.44,14554
fK3_uf8FLHc,3.51,1864326
gc3l3zRW4qc,27.44,676
PA_s7aU5CR4,11.34,282785
qzxGZiAdI3Y,6.03,30954
yQ8o5BkxRIY,1.33,107146
wBoR6T6HaYQ,7.18,3588387
8i6WOn45OTo,11.42,252959
yg04GyhS3ss,27.49,870909
i6BztiTtjZM,16.06,51052
2iDqXDq51gI,10.19,102864
KYNZzFjmHLs,19.56,3297514
CBMnyZihjQ0,0.19,92288
JWYV3QvNNMs,28.47,1511880
xx9ifL3IgsY,2.06,3429093
mGOuic4qnCs,13.57,104834
7SzXNieVbgU,13.57,245958
s5GfhGFVCFE,11.29,23831204
Dp9wJNPJzv0,24.16,606923
z371zrxhCaI,13.35,69464
svG0RmIGBPU,19.07,283461
kpwMbvMBvXA,9.43,119221
u-PclYgrW2w,21.19,858
C1xnmWvo1pM,18.45,39561
cjC0yvP2--g,2.47,74765
srPktd4k_O8,3.12,11076125
WDb5hiHmo7Q,15.53,421946
sdwLOvC-_es,21.18,36552
AaxrqDuw1Xk,2.02,74546
Nj7mZU31KHw,6.48,26194
KYp11MtkFk0,2.14,771886
2ZK4piveRgY,2.46,134919
AwqWjmvWrX0,26.23,228
VIU6Grf4rMY,15.09,303990
3aC8cRbXsNw,0.47,16612
eHbByA0fQnQ,3.06,148540
uuxE1OrZqCs,25.57,2146
AMv6WmLHpDA,28.58,24591
bC9BDlTS-8I,2.36,1699
yQJjMAsQ_5U,34.43,541964
lD9tjBUiXs0,3.01,643344
_pHSV5hDcp8,11.1,17059554
3O26kPrVomA,25.05,220762
Jma-4PdT8dU,6.14,405094
cw1daSLJ-rc,3.12,72928
oUx7KWMEKKA,12.24,102736
qfP5DHnHT94,11.27,150755
7BdvSGHXvgA,11.15,224437
zEkX_Wr1ftM,1.22,58317
46ZXl-V4qwY,20.59,4742436
PNsD7u9lHdg,4.13,17082937
r01KfUiSdKg,11.02,112039
0xHbe_4MNHE,17.41,44301
oOQ1sPIH7QE,11.07,649700
hypYAXmuois,1.37,2256774
Pjuk3ZJFWsg,10.25,91777
zDhPwtuBn-k,12.08,6277
i-1NT9TS19o,5.25,160429
sDelXDkDwlw,2,7519
m1JOSkkpIPM,3.13,355603
u7M6r7o_bx8,10.31,5993544
