"Title","views","Publisher","Time","Duration","Like","Dislike"
"3.27 장모와 아내에 이어 윤석열 검찰총장 본인의 비위 의혹을 뉴스타파가 정면으로 때렸는데.. 이번에는 좀 아프다","122,700 views",,,"3:35","11K","63"
"아끼는 물건 엄마가 버렸을 때 유형ㅋㅋㅋㅋㅋㅋ [밍꼬발랄]","553,651 views",,,"4:58","14K","441"
"Mother Dog Had To Hide Her Only Puppy In A Junk Pile, Because..","439,924 views",,,"4:09","11K","92"
"[김광일의 입] 수갑 찬 조주빈이 손석희를 갖고 놀다","152,914 views",,,"11:55","14K","402"
"임영웅 신곡 공개...조영수 작곡·김이나 작사 [TV CHOSUN 신통방통]","49,533 views",,,"4:03","3.1K","78"
"‘눈치 甲’ 김종국, 유재석에 정답 확신한 질문! 《Running Man》런닝맨 EP495","150,664 views",,,"3:47","1.1K","41"
"이게 1억 4천이라고?! 세상에서 가장 비싼 미술품 가격 맞추기!","154,569 views",,,"8:10","2.4K","71"
"뽀시래기들이 서당가면 벌어지는 일☆ 모음zip | #슈퍼맨이돌아왔다 |","722,999 views",,,"19:34","12K","251"
"그녀의눈물[따따2부]","162,102 views",,,"39:15","23K","175"
"[Best Mistake 2] Character Teaser","438,978 views",,,"1:29","23K","80"
"3월 27일 10시 정규재의 텐텐뉴스","100,080 views",,,"1:07:00","11K","572"
"[BT21] BT21 UNIVERSE 3 TEASER 1","315,911 views",,,"0:30","71K","65"
"24시간동안 물 안 쓰기 VS 전기 안 쓰기!! 어떤 게 더 불편할까?!?!","1,569,621 views",,,"23:01","21K","1.2K"
"[단독] '박사방' 운영자 신상 공개…25살 조주빈 / SBS","1,777,850 views",,,"3:02","20K","680"
"[알릴레오 라이브 25회]  믿고 더불로 가!(20.03.24)","761,221 views",,,"1:31:52","63K","1.5K"
"Korea, Wonderland? 참 이상한 나라","3,420,713 views",,,"4:10","150K","2.7K"
"🤵EP.3-1 Choose from the ZARA collection to dress your best friend! (This is not a penalty.)","1,525,077 views",,,"13:37","30K","411"
"[시사기획 창] 제7광구, 한·일 마지막 승부 / KBS뉴스(News)","592,073 views",,,"52:27","9.3K","479"
"미국방송에서 나온 말 한마디가 한국인을 크게 감동시킨 이유 ""미국 전역에 퍼져나가는 놀라운 상황""","838,018 views",,,"3:45","20K","521"
"유엔 사무총장의 한국관련 발언에 이탈리아인의 심금을 울려버린 이유, 기술력의 나라 한국이 각성하면 벌어지는 놀라운일들","1,487,013 views",,,"5:30","35K","746"
"살 떨리는 신병 이용주 신고식, 그의 역대급 스펙은?ㄷㄷ 그리고 그의 연예인 후임🌟 | #깜찍한혼종_푸른거탑 | #Diggle","730,045 views",,,"35:58","Like","Dislike"
"[이슈인사이드] ""미국은 사실상 준전시 체제""...이 시각 美 현지 상황은? / YTN","1,076,578 views",,,"12:59","8.3K","825"
"Oppa... you need to stop","952,794 views",,,"8:18","16K","789"
"강경화 장관, BBC '앤드류 마 쇼' 인터뷰 [한글자막 요약]","2,149,574 views",,,"2:18","41K","11K"
"미스터트롯 임영웅 [영영]","666,204 views",,,"4:33","23K","364"
"김어준의 다스뵈이다 104회 더불어 시민당 그리고 우여곡절 + 180 연대 후보들","1,098,700 views",,,"2:10:37","85K","2.8K"
"[인터뷰] ""형사들도 피해상황 보고 경악""…'n번방' 취재 PD에 묻는다 (2020.03.24 / JTBC 뉴스ON)","544,040 views",,,"28:45","4.3K","264"
"💥사이다 터진💥썸녀의 카카오톡에 열받은 썸남ㅋㅋ 역관광 레전드썰ㅋㅋㅋㅋ","539,106 views",,,"11:15","14K","258"
"이광수 컴백기념 레전드 모음.ZIP《런닝맨 / 예능맛ZIP / RunningMan》","721,201 views",,,"16:17","6.8K","174"
"감스트 과거..현재..미래..?","798,612 views",,,"11:13","10K","462"
"[충격] 손석희 돈 준 이유!!! (N번방 조주빈)","329,336 views",,,"38:47","24K","1.1K"
"조주빈 지인들의 증언.. 군대에서 후임을 괴롭히던 중독자.. 대학에선 차분하고 조용했다","671,669 views",,,"4:28","7K","364"
"BTS (방탄소년단) 코로나19 국민 응원 메시지 COVID-19 Message [Stay Strong! Stay Connected!]","3,799,615 views",,,"1:58","893K","2.2K"
"(다반뉴스) 윤석열 N번방 추미애 충돌!!! / 신의한수 20.03.26","307,918 views",,,"1:26:40","29K","1K"
"분노가 조절되지 않는 격투기 선수들 ㄷㄷ 살벌한 돌발상황 모음 !!!","546,847 views",,,"10:02","2.4K","421"
"Didn't Adopt An Alpaca Just Because She's Pretty","2,241,733 views",,,"4:25","44K","619"
"'텔레그램 n번방'에선 무슨 일이 벌어지고 있나(feat.지인능욕방?, 박사방) / Before J Ep.7","836,666 views",,,"8:35","24K","532"
"※소름주의※ 스토커와 삼자대면 했습니다..","649,306 views",,,"26:56","5.8K","720"
"스페셜 초대석 with 임영웅, 영탁, 이찬원 full ver. /200319[박명수의 라디오쇼]","566,616 views",,,"37:47","13K","513"
"(WHY?) 청소를 못 하게 하는 부모님.. 쓰레기장이 되어버린 집안☠️  [무엇이든 물어보살]","569,783 views",,,"15:20","5.4K","177"
"[메이킹] 통쾌하고 짜릿했던 이태원 클라쓰! 단밤즈의 마지막 씬 비하인드!","1,039,080 views",,,"8:04","26K","143"
"삼성전자로 하나된 우리, 그리고 부동산 시장","299,573 views",,,"27:31","5.6K","152"
"【풀버전】 임영웅 - 배신자 🔥미스터트롯 결승전🔥","1,788,419 views",,,"4:39","27K","2.1K"
