title_length,description_length,viewCount,likeCount,dislikeCount,commentCount
6,25,39716,605,69,47
8,28,921934,26316,762,2444
9,32,287241,7019,430,1768
5,19,3537263,261701,2930,13564
9,28,40013,2552,18,83
6,29,52270312,729316,23709,36622
6,31,17507657,188948,19693,1200
4,22,8506929,86897,7470,2454
4,22,8506929,86897,7470,2454
9,28,408099,17472,72,481
14,30,22115469,366268,8841,32089
12,22,7932922,75924,7544,1753
5,28,1315374,1165,535,10
11,24,3035248,39185,2783,513
7,27,61734383,587298,22079,43330
4,26,1195400,33505,524,2192
4,15,406411,33811,247,2517
10,20,15688229,99717,18900,1245
11,26,1308601,5684,1749,76
7,28,1288347,56916,704,2007
8,26,3333092,36922,2523,1503
5,21,614418,41239,186,3113
9,24,15354469,160275,15924,3486
13,17,29444,333,62,5
6,28,15294547,71850,7331,5537
12,16,42429377,125670,57438,953
8,22,3285813,29755,1982,789
6,28,73559,206,4,20
12,25,90432,47,24,2
19,24,6504428,137070,2489,6210
11,17,1807311,10217,6239,0
10,28,2260955,61220,1368,6242
12,28,4221380,47717,1407,1911
11,17,3944303,29061,4926,552
11,17,9557031,61696,11399,735
6,30,772003,46066,683,682
7,26,13901994,25046,7655,1239
8,25,3295348,4851,1529,NA
7,24,937587,137703,235,5326
6,25,3237674,58080,1375,7115
9,23,82828095,284011,69156,15744
10,26,2981844,25877,1989,239
10,24,15769079,99237,15395,2052
5,32,4253972,222987,2824,14854
10,20,12571011,65542,15916,575
7,25,10913762,157356,8129,4578
11,18,9297239,57593,9465,1030
7,27,1075393,82291,359,10143
6,26,4812728,60898,4760,863
12,25,18525,324,13,38
10,28,1907868,76802,1079,5433
12,21,108560399,171589,60893,4614
9,29,1620448,32934,798,3135
9,26,1663517,50827,997,4436
15,17,13658151,63489,40649,68
7,31,44087,1691,8,73
7,28,85268,193,51,1
6,27,8455131,83978,4058,7905
4,23,20614,78,3,3
9,24,551166,38484,1198,481
14,24,2229709,26817,2285,969
10,26,456872,12774,400,264
8,27,1565117,4373,963,119
12,18,3844846,27475,3880,545
3,30,148995,5333,62,993
6,22,8809150,109216,10436,1139
4,1,52093,1268,27,77
10,27,1679440,25666,1531,317
6,25,8338431,111775,6125,2948
10,25,42381356,256262,23860,11672
13,25,6168229,56499,2690,1513
7,28,2243238,54554,1557,2085
15,25,21858261,397907,6938,52930
6,23,2160713,37399,2404,751
11,24,99547,151,90,4
11,22,1570785,107879,2108,5139
7,15,10901091,97044,11484,798
12,18,7484252,46762,8320,772
11,26,12383871,110520,15111,3193
7,25,4540089,433859,1297,25262
6,21,2738721,10446,1429,109
8,24,20865290,115426,28845,535
13,22,578345,22773,373,2872
6,29,5762416,39095,6324,507
4,20,1262207,81443,1981,637
16,30,13452951,51506,25205,201
11,27,3280141,65650,3693,944
9,33,60245978,474643,45680,24371
8,23,266751,2508,72,209
12,18,1073747,5427,2745,0
8,29,17434399,58291,16477,1352
4,28,31845966,525777,4596,53653
7,27,482871,1162,281,49
8,26,616626,3223,1072,45
5,25,2546362,25432,1137,1136
12,18,19255012,78091,22539,NA
6,32,42000841,2377148,189454,363512
11,26,36345936,246601,34614,3789
11,26,36345936,246601,34614,3789
9,28,3578247,10063,2351,233
6,31,18511,751,11,NA
9,27,1817013,25164,1371,434
7,29,1600091,13547,1871,209
6,30,1507390,82442,1320,5911
8,19,554302,8370,646,131
7,13,21387356,294778,22797,2585
8,27,30341295,79571,2040,2799
7,22,1643334,38367,1738,906
5,17,15841,322,2,11
3,32,8329293,139280,2330,12374
4,17,3189896,175554,1880,21498
8,27,972731,45833,556,6813
7,28,4964914,88983,4564,4265
12,18,22008005,177334,22371,2274
6,27,17913958,447652,4248,48553
10,25,11242578,56041,16824,NA
12,30,1757266,24441,1108,812
7,24,16264299,157507,9979,NA
5,32,81128,2868,28,431
7,25,3927414,161788,3137,3073
3,21,13544,30,2,1
12,27,10498669,54467,5344,2964
8,24,19814,242,9,39
11,25,797695,11097,400,487
8,23,895377,1338,341,47
6,28,11205879,146988,1224,10895
10,28,17484782,124678,1700,5746
3,0,559376,65,5,2
8,27,1877164,2593,937,77
8,24,55775517,1051418,60038,24334
8,28,65480,1,0,0
13,3,40777,186,38,0
11,21,4661663,22408,11220,65
12,22,8161602,111159,6892,3192
3,8,193381,109,43,4
3,8,193381,109,43,4
4,19,30124,195,13,36
5,28,16157207,118827,1598,6838
7,14,21234416,251742,23083,1613
5,26,21841189,221007,9268,22975
6,34,75183,1826,31,48
6,14,16494948,142948,14649,1599
9,22,422325,2546,127,345
7,24,7109354,71754,3802,3629
9,29,403501,11459,337,231
9,21,17342797,429386,18159,1994
9,21,17342797,429386,18159,1994
10,26,2745114,10982,3754,94
10,26,2745114,10982,3754,94
10,21,7462588,81478,7168,2449
14,24,64234,748,13,124
7,22,22719891,248418,28902,11215
7,22,22719891,248418,28902,11215
12,18,3238573,22070,3810,522
6,25,20366270,342182,4543,43292
9,16,16357112,92821,18064,1170
9,16,16357112,92821,18064,1170
7,25,16444444,141832,18642,2568
7,25,16444444,141832,18642,2568
8,17,10304296,192863,13032,1009
4,20,76432,860,34,67
4,20,76432,860,34,67
4,29,4742062,113072,1383,2210
4,29,4742062,113072,1383,2210
3,8,193381,109,43,4
3,8,193381,109,43,4
12,18,8531538,52156,8746,715
4,29,13439508,92262,1515,1570
9,16,16357112,92821,18064,1170
9,16,16357112,92821,18064,1170
9,21,17342797,429386,18159,1994
9,21,17342797,429386,18159,1994
7,22,22719891,248418,28902,11215
7,22,22719891,248418,28902,11215
7,25,16444444,141832,18642,2568
7,25,16444444,141832,18642,2568
4,20,76432,860,34,67
4,20,76432,860,34,67
4,29,4742062,113072,1383,2210
4,29,4742062,113072,1383,2210
7,23,24865219,329679,22991,3748
10,26,2745114,10982,3754,94
10,26,2745114,10982,3754,94
9,16,17016515,147282,19385,2054
7,19,157727,1864,93,454
15,3,151427,491,121,2
9,27,10068403,111252,12567,608
3,12,126703,78,8,11
6,31,78578,153,49,3
3,8,13334,313,0,9
6,28,12646,47,9,3
8,25,11654,117,11,13
10,17,13357896,73670,15740,827
4,31,35369,136,3,15
13,14,2309825,18429,3664,413
13,23,5863232,15256,3321,1014
3,19,36250,2399,13,37
7,21,14646941,176553,14557,3705
14,28,3384363,10761,3082,251
6,25,2179342,30928,1030,2405
4,24,11815712,322962,6331,41616
14,18,1445199,2788,1498,24
9,29,142616,505,81,45
15,14,8569,355,42,143
15,28,3462760,13366,2288,1207
3,29,48712,135,7,48
4,17,81906,15,27,15
3,23,32237,970,8,20
8,26,216034,474,140,9
18,30,559978,2403,238,231
5,22,56378,175,20,4
13,20,3164108,60851,1892,6248
10,22,589506,3221,82,189
11,17,15025099,90741,16792,1232
3,6,288459,206,16,8
10,29,166298,700,95,22
12,18,6200882,40062,6381,451
5,24,44787,596,2,54
8,29,304134,864,102,103
11,26,36345936,246601,34614,3789
11,26,36345936,246601,34614,3789
10,24,1057372,5280,647,169
4,23,45610,6,5,0
13,20,193027,1150,351,20
5,24,1178432,10726,1562,53
14,26,2577608,8233,1798,252
6,28,28442,207,34,23
10,23,3315,74,11,0
7,31,1234021,604,183,53
4,26,77891,258,35,29
6,9,75807,977,5,4
8,25,5778073,40232,5741,650
15,24,1643850,5702,1086,264
9,22,97901526,1157380,21134,37803
18,26,1162372731,4577223,297033,153958
11,14,1506917,11952,2449,345
7,24,3356995,32146,4415,367
6,29,1871516,21454,2335,231
10,25,161689,12600,596,401
13,23,10864,202,26,14
9,25,7760,31,4,0
14,27,1307210,3960,756,172
10,17,2004459,12813,2478,375
8,27,181384,383,122,21
10,26,179276,497,70,34
5,16,32633,2264,19,151
5,23,29603,5268,23,361
8,20,830204,21084,726,1220
5,31,14933,139,10,6
18,29,1908073,2370,930,164
12,23,12262,51,9,7
12,33,155816,2360,120,121
11,24,4876647,50120,5009,856
12,30,2869957,54229,1703,4219
8,20,8302204,86705,9604,1668
14,17,1899934,36795,1571,2889
9,30,933594,11143,693,1173
8,26,4048038,193463,3519,12232
12,25,7381183,71242,8424,2370
12,29,6511800,176745,3715,8804
10,28,5900154,146091,3929,10819
12,35,2137505,33205,1321,1681
10,14,1407389,10896,805,617
9,12,10233316,30546,10468,124
8,21,1351948,68756,1575,2704
10,27,2252264,66498,2696,908
13,19,5165720,75271,4694,3698
6,19,3297256,45954,3816,1516
13,23,8432923,323552,5433,12665
12,34,986626,14822,800,1773
2,20,495218,65000,346,3688
5,26,28828261,349359,29115,5623
9,26,40693869,101006,60870,NA
12,32,3303,15,3,3
6,23,75349048,559012,75401,7949
10,36,12254293,208318,25375,23183
6,27,5037039,41587,5541,111
