channel,section,playlist,video,link,time,views,publication date,likes,dislikes,description
gjenkinslbcc,Python Data Structures and Algorithms Class - CS22,1: CS22 - Python Data Structures/Algorithms Class - Introduction,"Introduction 10 | input, more about print function",https://youtu.be/ordYoarkoEo,7:30,138, sept 2017,1,0,"These videos are to help you when reading the ebook: ""Problem Solving with Algorithms and Data Structures using Python"" atebook:  https://goo.gl/1GJCgtimages of the ebook and some code from the book are attributed to this book by the Authors Bradley N. Miller and David ranum under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)License link: https://goo.gl/m2m1ww"
gjenkinslbcc,Python Data Structures and Algorithms Class - CS22,1: CS22 - Python Data Structures/Algorithms Class - Introduction,Introduction 11 | Formating,https://youtu.be/RTIRHYV3Sjs,8:46,140, sept 2017,1,0,"How to use the modulus string formatting operator to convert how data is represented in strings and used for output. These videos are to help you when reading the ebook: ""Problem Solving with Algorithms and Data Structures using Python"" atebook:  https://goo.gl/1GJCgtimages of the ebook and some code from the book are attributed to this book by the Authors Bradley N. Miller and David ranum under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)License link: https://goo.gl/m2m1ww"
gjenkinslbcc,Python Data Structures and Algorithms Class - CS22,1: CS22 - Python Data Structures/Algorithms Class - Introduction,Introduction 12 | Control Structures in Python,https://youtu.be/c64cJHAJSn4,12:32,1435, veebr 2015,7,0,"Python control structures are covered for students who have already learned another language.This is part of my video course: https://goo.gl/ghFZarCode/Slides link: https://goo.gl/ZNGPMUThese videos are to help you when reading the ebook: ""Problem Solving with Algorithms and Data Structures using Python"" atebook:  https://goo.gl/1GJCgtimages of the ebook and some code from the book are attributed to this book by the Authors Bradley N. Miller and David ranum under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)License link: https://goo.gl/m2m1ww"
gjenkinslbcc,Python Data Structures and Algorithms Class - CS22,1: CS22 - Python Data Structures/Algorithms Class - Introduction,Introduction 13 | Exceptions,https://youtu.be/dEZbvb1RQq4,8:40,214, veebr 2015,1,0,"Exceptions are explained including try except statement and the raise statement. These videos are to help you when reading the ebook: ""Problem Solving with Algorithms and Data Structures using Python"" atebook:  https://goo.gl/1GJCgtimages of the ebook and some code from the book are attributed to this book by the Authors Bradley N. Miller and David ranum under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)License link: https://goo.gl/m2m1wwThese videos are to help you when reading the ebook: ""Problem Solving with Algorithms and Data Structures using Python"" atebook:  https://goo.gl/1GJCgtimages of the ebook and some code from the book are attributed to this book by the Authors Bradley N. Miller and David ranum under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)License link: https://goo.gl/m2m1ww"
gjenkinslbcc,Python Data Structures and Algorithms Class - CS22,1: CS22 - Python Data Structures/Algorithms Class - Introduction,Introduction 14 | Functions,https://youtu.be/HLqmJFINl_g,6:08,133, jaan 2018,2,0,"Short introduction to defining functions.Video Course link: https://goo.gl/ghFZarCode/Slides link: https://goo.gl/ZNGPMUThese videos are to help you when reading the ebook: ""Problem Solving with Algorithms and Data Structures using Python"" atebook:  https://goo.gl/1GJCgtimages of the ebook and some code from the book are attributed to this book by the Authors Bradley N. Miller and David ranum under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)License link: https://goo.gl/m2m1ww"
gjenkinslbcc,Python Data Structures and Algorithms Class - CS22,1: CS22 - Python Data Structures/Algorithms Class - Introduction,Introduction 15 | OOP-Fraction 1,https://youtu.be/kTGW-LTsok4,8:55,271, sept 2017,5,0,"Introduction of Object oriented programming by way of showing a Fraction class with magic methods Video Course link: https://goo.gl/ghFZarCode/Slides link: https://goo.gl/ZNGPMUThese videos are to help you when reading the ebook: ""Problem Solving with Algorithms and Data Structures using Python"" atebook:  https://goo.gl/1GJCgtimages of the ebook and some code from the book are attributed to this book by the Authors Bradley N. Miller and David ranum under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)License link: https://goo.gl/m2m1ww"
gjenkinslbcc,Python Data Structures and Algorithms Class - CS22,1: CS22 - Python Data Structures/Algorithms Class - Introduction,Introduction 16 | Fraction 2,https://youtu.be/SBwNI1lBPfo,11:36,169, sept 2017,2,0,"Fractions continuedVideo Course link: https://goo.gl/ghFZarCode/Slides link: https://goo.gl/ZNGPMUThese videos are to help you when reading the ebook: ""Problem Solving with Algorithms and Data Structures using Python"" atebook:  https://goo.gl/1GJCgtimages of the ebook and some code from the book are attributed to this book by the Authors Bradley N. Miller and David ranum under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)License link: https://goo.gl/m2m1ww"
gjenkinslbcc,Python Data Structures and Algorithms Class - CS22,1: CS22 - Python Data Structures/Algorithms Class - Introduction,Introduction 17 | Fraction 3,https://youtu.be/XgIkGUl7cGA,9:21,133, sept 2017,2,0,"Fractions continuedVideo Course link: https://goo.gl/ghFZarCode/Slides link: https://goo.gl/ZNGPMUThese videos are to help you when reading the ebook: ""Problem Solving with Algorithms and Data Structures using Python"" atebook:  https://goo.gl/1GJCgtimages of the ebook and some code from the book are attributed to this book by the Authors Bradley N. Miller and David ranum under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)License link: https://goo.gl/m2m1ww"
gjenkinslbcc,Python Data Structures and Algorithms Class - CS22,1: CS22 - Python Data Structures/Algorithms Class - Introduction,Introduction 18 | iPython and inheritance,https://youtu.be/chVm1zNtLao,11:46,285, veebr 2015,4,0,"Covering Python Inheritance and installing and starting a iPython NotebookHow to install iPython Link is here:  https://goo.gl/7vwqGnVideo Course link: https://goo.gl/ghFZarCode/Slides link: https://goo.gl/ZNGPMUThese videos are to help you when reading the ebook: ""Problem Solving with Algorithms and Data Structures using Python"" atebook:  https://goo.gl/1GJCgtimages of the ebook and some code from the book are attributed to this book by the Authors Bradley N. Miller and David ranum under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)License link: https://goo.gl/m2m1ww"
gjenkinslbcc,Python Data Structures and Algorithms Class - CS22,1: CS22 - Python Data Structures/Algorithms Class - Introduction,Introduction 19 | Inheritance 2,https://youtu.be/-_a1_W9zmNo,12:19,195, veebr 2015,0,0,"Python object oriented inheritance, second lectureVideo Course link: https://goo.gl/ghFZarCode/Slides link: https://goo.gl/ZNGPMUThese videos are to help you when reading the ebook: ""Problem Solving with Algorithms and Data Structures using Python"" atebook:  https://goo.gl/1GJCgtimages of the ebook and some code from the book are attributed to this book by the Authors Bradley N. Miller and David ranum under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC-BY-NC-SA)License link: https://goo.gl/m2m1ww"
