"Title","views","Publisher","Time","Duration","Like","Dislike"
"Pizzera & Jaus - Liebe zum Mitnehmen","325,285 views",,,"4:15","6K","151"
"Dinge halbieren eskaliert etwas😅... mit Gewitter im Kopf","1,082,610 views",,,"10:46","88K","1.8K"
"DARDAN ~ H 0 T E L ft. MONET192","2,583,209 views",,,"3:06","83K","2.3K"
"Ben und Lea küssen sich! 😱💋 #1830 | Köln 50667","507,667 views",,,"16:17","11K","336"
"STANLEYS GOLDENE TAUSEND IM BETT 😏🛏 Folge 7 | Krass Klassenfahrt","786,739 views",,,"11:00","41K","1.1K"
"Die Draufgänger - Happy Wife - Happy Life (Offizielles Musikvideo)","270,168 views",,,"2:57","6.6K","192"
"Corona: Wann ist die Pandemie vorbei? | Quarks exklusiv","2,140,357 views",,,"11:35","40K","2K"
"Tourette vervollständigt UNSERE Sätze! mit blauem Besuch! (Rezo)","711,635 views",,,"10:29","59K","664"
"Frei.Wild - Corona Weltuntergang v2 (Offizielles Video)","672,223 views",,,"3:17","30K","1.5K"
"Der Corona Song","1,831,108 views",,,"1:47","55K","4K"
"Polizei Wien setzt Ausgangssperre in Österreich um - Das Erste","168,013 views",,,"0:44","1.7K","286"
"SAMRA & CAPITAL BRA - BERLIN (PROD. BY BEATZARRE & DJORKAEFF, LUKAS PIANO)","4,600,407 views",,,"3:12","167K","14K"
"GReeeN - Klopapier (Corona) [MUSIKVIDEO]","674,302 views",,,"3:18","53K","1.9K"
"Mit YouTube zum Millionär? Wie viel verdienen erfolgreiche deutsche YouTuber? | Galileo | ProSieben","1,889,989 views",,,"0:15","55K","2.4K"
"ALLEINE eingesperrt in Quarantäne. Ich raste aus...","391,381 views",,,"13:27","29K","1.3K"
"ICH SCHMINKE JANA ""FULL GLAM"" (und sie hasst es) 😂🥺👉🏼👈🏼","587,617 views",,,"8:45","39K","866"
"Kurz: „Danach wird die Welt anders aussehen“ | krone.tv News-Talk","218,973 views",,,"7:28","2.9K","293"
"Soolking feat MERO - Hayati [Official Lyric Video] Prod By AriBeatz","2,446,830 views",,,"2:29","80K","2.8K"
"Coronavirus: So verläuft die Erkrankung Covid-19 | Visite | NDR","1,369,768 views",,,"5:03","13K","556"
"MC YANKOO X LUNA DJO - TELENOVELA (OFFICIAL VIDEO) 4K","3,561,833 views",,,"2:32","64K","8.8K"
"DIE DÜMMSTEN TIK TOK LIFE HACKS ALLER ZEITEN im Test | Joey's Jungle","624,920 views",,,"15:46","52K","863"
"Do the Corona Dance!","1,591,625 views",,,"1:48","104K","15K"
"Jador x Lino Golden - Dau Moda | Official Video","18,098,009 views",,,"2:16","397K","22K"
"NICHT RAUSGEHEN (TUTORIAL)","663,067 views",,,"1:29","86K","1.2K"
"Recognizing Ignaz Semmelweis and Handwashing","55,538,973 views",,,"0:50","Like","Dislike"
"Audi RS6 Avant | Test auf Autobahn und Heimstrecke | Matthias Malmedie","673,839 views",,,"30:17","16K","632"
"ALMAN Witze | Julien Bam vs Phil Laude","2,159,402 views",,,"6:18","139K","2.5K"
"Doing Charli D'Amelio's Makeup!","17,142,745 views",,,"20:53","882K","32K"
"Dreckswohnungs Umstyling: Streichen, Möbel, Nervenzusammenbruch (Part 2)","620,814 views",,,"12:44","31K","716"
