"Title","views","Publisher","Time","Duration","Like","Dislike"
"FIFA World Cup Russia 2018 • Official Promo ᴴᴰ","18,787,968 views",,,"3:26","201K","6.9K"
"Spain v Morocco - 2018 FIFA World Cup Russia™ - Match 36","14,717,783 views",,,"2:10","70K","4.9K"
"Spain v Russia - 2018 FIFA World Cup Russia™ - Match 51","19,183,145 views",,,"2:10","108K","8.6K"
"Full Match   Brazil vs Argentina   2018 Fifa World Cup Qualifiers   11 10 2016   YouTube","1,151,488 views",,,"1:48:15","5.7K","836"
"2018 World Cup France vs Argentina Highlight","4,696,702 views",,,"8:29","25K","2.4K"
"It Didn't Come Home  ● World Cup 2018 ● England The Journey","126,744 views",,,"14:40","1.6K","40"
"IR Iran v Spain - 2018 FIFA World Cup Russia™ - Match 20","11,912,401 views",,,"2:10","43K","3.5K"
"Poland v Senegal - 2018 FIFA World Cup Russia™ - Match 15","13,072,379 views",,,"2:10","62K","5.3K"
"Tunisia v England - 2018 FIFA World Cup Russia™ - Match 14","15,108,443 views",,,"2:10","57K","4.2K"
"France v Belgium - 2018 FIFA World Cup Russia™ - Match 61","26,329,672 views",,,"2:10","136K","12K"
"Serbia v Brazil - 2018 FIFA World Cup Russia™ - Match 41","15,636,105 views",,,"2:10","82K","5.8K"
"Russia v Saudi Arabia - 2018 FIFA World Cup Russia™ - MATCH 1","17,448,321 views",,,"2:10","124K","8.2K"
"Belgium v England - 2018 FIFA World Cup Russia™ - Play-off for third place","13,339,780 views",,,"2:10","88K","5.1K"
"Poland v Colombia - 2018 FIFA World Cup Russia™ - Match 31","9,051,622 views",,,"2:10","49K","3.2K"
"England v Belgium - 2018 FIFA World Cup Russia™ - Match 45","13,890,865 views",,,"2:10","63K","4.2K"
"Japan v Senegal - 2018 FIFA World Cup Russia™ - Match 32","10,532,389 views",,,"2:10","54K","2.4K"
"World Cup 2018   PREVIEW ●KHALED C'est la vie    HD","91,854 views",,,"3:50","1.5K","32"
