"video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount"
"-iW1-BuJ_Hc","2012-01-12T01:44:36.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - Next","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/-iW1-BuJ_Hc/default.jpg","120","90","https://i.ytimg.com/vi/-iW1-BuJ_Hc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/-iW1-BuJ_Hc/hqdefault.jpg","480","360","The Weeknd","none",27562086,129833,3311,0,5604
"9FE-Pwm2cyc","2011-08-19T21:26:14.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - The Birds (Part 2)","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/9FE-Pwm2cyc/default.jpg","120","90","https://i.ytimg.com/vi/9FE-Pwm2cyc/mqdefault.jpg","320","180","https://i.ytimg.com/vi/9FE-Pwm2cyc/hqdefault.jpg","480","360","The Weeknd","none",8909812,42659,1198,0,3503
"NID-2orTN8U","2012-01-06T06:56:05.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - Same Old Song","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/NID-2orTN8U/default.jpg","120","90","https://i.ytimg.com/vi/NID-2orTN8U/mqdefault.jpg","320","180","https://i.ytimg.com/vi/NID-2orTN8U/hqdefault.jpg","480","360","The Weeknd","none",9728831,61081,1391,0,3404
"o9PuAm7d0PA","2011-03-05T20:20:13.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - Wicked Games","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/o9PuAm7d0PA/default.jpg","120","90","https://i.ytimg.com/vi/o9PuAm7d0PA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/o9PuAm7d0PA/hqdefault.jpg","480","360","The Weeknd","none",65740490,298839,7116,0,14045
"NdDeWJRWsqY","2014-12-23T05:42:27.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd &quot;Earned It&quot; (Fifty Shades Of Grey) Official Lyric Video","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/NdDeWJRWsqY/default.jpg","120","90","https://i.ytimg.com/vi/NdDeWJRWsqY/mqdefault.jpg","320","180","https://i.ytimg.com/vi/NdDeWJRWsqY/hqdefault.jpg","480","360","The Weeknd","none",39412349,251102,6536,0,3939
"pdH1kXzquQo","2011-08-19T15:07:21.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - Lonely Star","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/pdH1kXzquQo/default.jpg","120","90","https://i.ytimg.com/vi/pdH1kXzquQo/mqdefault.jpg","320","180","https://i.ytimg.com/vi/pdH1kXzquQo/hqdefault.jpg","480","360","The Weeknd","none",9061605,37466,854,0,2674
"0Suprl56Owg","2011-08-19T20:27:24.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - Thursday","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/0Suprl56Owg/default.jpg","120","90","https://i.ytimg.com/vi/0Suprl56Owg/mqdefault.jpg","320","180","https://i.ytimg.com/vi/0Suprl56Owg/hqdefault.jpg","480","360","The Weeknd","none",8006898,32195,823,0,2799
"YK9N-Xh32eE","2012-01-09T06:44:46.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - The Fall","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/YK9N-Xh32eE/default.jpg","120","90","https://i.ytimg.com/vi/YK9N-Xh32eE/mqdefault.jpg","320","180","https://i.ytimg.com/vi/YK9N-Xh32eE/hqdefault.jpg","480","360","The Weeknd","none",5385533,22358,507,0,1965
"HOdNMwTNNhA","2011-03-21T02:43:11.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - Loft Music","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/HOdNMwTNNhA/default.jpg","120","90","https://i.ytimg.com/vi/HOdNMwTNNhA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/HOdNMwTNNhA/hqdefault.jpg","480","360","The Weeknd","none",15556572,69799,1423,0,4760
"8ex38L8xtNI","2011-03-21T01:39:53.000Z","UC0WP5P-ufpRfjbNrmOWwLBQ","The Weeknd - House Of Balloons / Glass Table Girls","http://theweeknd.co/BeautyBehindTheMadness THE MADNESS FALL TOUR 2015: http://republicrec.co/BBTMtickets.","https://i.ytimg.com/vi/8ex38L8xtNI/default.jpg","120","90","https://i.ytimg.com/vi/8ex38L8xtNI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/8ex38L8xtNI/hqdefault.jpg","480","360","The Weeknd","none",18260590,85763,2564,0,6295
