"Title","views","Publisher","Time","Duration","Like","Dislike"
"NLE Choppa - Walk Em Down feat. Roddy Ricch (Official Music Video)","11,633,586 views",,,"2:55","482K","9.2K"
"Dr. Fauci: You don't make the timeline, the virus does","1,591,075 views",,,"10:57","16K","1.2K"
"Danick Martineau - Chanson | CoronaVirus","1,062,023 views",,,"2:02","38K","1.2K"
"The Try Guys Work From Home For 168 Hours","2,354,180 views",,,"25:44","122K","1K"
"The Weeknd - In Your Eyes (Official Video)","6,485,616 views",,,"5:41","396K","7.5K"
"We Force James Charles to Run a Military Obstacle Course","3,315,299 views",,,"21:08","229K","5.5K"
"Never Leaving My House Again...","7,977,529 views",,,"17:28","375K","13K"
"The Tonight Show: At Home Edition (Trevor Noah, DJ D-Nice)","1,501,713 views",,,"27:16","30K","647"
"What Coronavirus Symptoms Look Like, Day By Day","12,006,977 views",,,"5:18","172K","4.5K"
"Italian doctor on how virus 'exploded', having coronavirus & how to fight it","1,926,413 views",,,"13:26","19K","748"
"The Tesla Model Y Is the Tesla Everyone Is Waiting For","2,192,493 views",,,"32:36","50K","2K"
"Ice Cream Taste Test Tournament (Day 2)","1,479,317 views",,,"15:00","45K","958"
"2020 iPad Pro Review: It's... A Computer?!","4,249,332 views",,,"11:44","143K","3.2K"
"How To See Germs Spread (Coronavirus)","11,235,878 views",,,"10:20","444K","6.6K"
"The National for Friday, March 20 — COVID-19 pandemic supply and demand, emotional toll","334,650 views",,,"45:21","1.1K","201"
"MAKING NUT MILK *COOKING WITH EMMA*","2,637,869 views",,,"11:41","178K","2K"
"Global coronavirus cases surpassed 400,000  - BBC News","1,101,062 views",,,"18:53","6.4K","778"
"Joe Rogan Reads Message From Doctor About the Coronavirus","2,521,743 views",,,"4:19","42K","1.1K"
"Sen. Schumer Breaks Down Massive Coronavirus Aid Package | Morning Joe | MSNBC","1,000,994 views",,,"16:52","8.5K","1.7K"
"Recognizing Ignaz Semmelweis and Handwashing","55,555,946 views",,,"0:50","Like","Dislike"
"Arthur Gunn Puts an INCREDIBLE Spin on a Creedence Clearwater Revival Classic - American Idol 2020","2,096,461 views",,,"3:40","71K","727"
"The Road to PS5","13,753,387 views",,,"52:44","306K","115K"
"Community Cardio with David Dobrik and Kevin Hart","4,412,074 views",,,"0:20","192K","2.5K"
"Eminem | Hotboxin' with Mike Tyson","4,497,527 views",,,"47:55","142K","2.6K"
"Shoppers Encounter New Rules, Limits At Costco","806,545 views",,,"1:39","2.4K","167"
"We're Sorry....","1,839,521 views",,,"20:47","85K","23K"
"'Not racist at all': Donald Trump defends calling coronavirus the 'Chinese virus'","2,100,461 views",,,"0:50","28K","2.6K"
"Allegra Miles vs. Michael Williams - Whitney Houston's ""How Will I Know"" - The Voice Battles 2020","1,025,699 views",,,"7:03","26K","272"
"James Charles did my makeup!  |  Charli D'Amelio","3,697,453 views",,,"10:59","251K","3.9K"
"24 hour Online Shopping Challenge","2,035,334 views",,,"24:11","90K","2.5K"
"Game Theory: Death by NIGHTMARE! (Try To Fall Asleep)","1,680,630 views",,,"16:04","77K","1.3K"
"LIVE: The DP Quarantine Classic - Spikeball","3,907,238 views",,,"50:24","92K","2K"
"Dobre Brothers - You Know You Lit ft. Lil Pump (Official Video)","3,729,610 views",,,"2:32","172K","67K"
