video_id,comment_text,,,,,,,
hzGrwaFztrE,Just kids i would have opened an offshore account.,,,,,,,
hzGrwaFztrE,Nice movie, long live Turkic connection!,,,,,,
hzGrwaFztrE,I suspected that from the jump ? good movie,,,,,,,
hzGrwaFztrE,I'll also trying to open dark web.... Lolx??,,,,,,,
hzGrwaFztrE,Such a great film?,,,,,,,
hzGrwaFztrE,THAT was an awesome ass movie!,,,,,,,
hzGrwaFztrE,THANKS for that!,,,,,,,
hzGrwaFztrE,I'll be subscribing to your channel.. In hopes you upload more full ( great) movies like THIS!??,,,,,,,
hzGrwaFztrE,I was ready to get mad but in the end....,,,,,,,
hzGrwaFztrE,Interesting. Im 23 minutes in and it hasnt dulled even once. It is well made , and i  have a feeling theres a nugget of wisdom to be realized at the end. .....I hope.,,,,,,
hzGrwaFztrE,Make an app,,,,,,,
hzGrwaFztrE,Ifeel i just want to start a new life after seeing this.  From now on i will stop using our neighbor's wifi? lmao,,,,,,,
hzGrwaFztrE,Amazing. ? . Just Amazing ?,,,,,,,
hzGrwaFztrE,suddenly he remembered his mommy after he got arrested and thrown inside a Thai prison and without going to the judicial court..???,,,,,,,
hzGrwaFztrE,Thanks for sharing,  very interesting À to Z. ?,,,,,,
hzGrwaFztrE,To live life truthfully, one must be honest about who she/he was in order breathe the life you wanted to live freely.....,,,,,,
hzGrwaFztrE,Exactly movie is fab man.,,,,,,,
hzGrwaFztrE,Damn that was so good ,,,,,,,
hzGrwaFztrE,Anyone else think he was too quick to forgive that bih,,,,,,,
hzGrwaFztrE,I need Shye as my Friend!,,,,,,,
hzGrwaFztrE,ILike this movie. Thank You for uploading ?,,,,,,,
hzGrwaFztrE,7:07 Dark Souls 2 lol,,,,,,,
hzGrwaFztrE,Seriously, no words...watch it once you'll love it.. amazing..?,,,,,,
hzGrwaFztrE, the movie!,,,,,,,
hzGrwaFztrE,Read no further... MOVIE is a Gem. Couldn't stop watching kept me up till 2.30am.,,,,,,,
hzGrwaFztrE,amazing movie... a science fiction movie nice ending...miss u shye ?,,,,,,,
hzGrwaFztrE,Shye define what the true friendship.... ??,,,,,,,
hzGrwaFztrE,For anyone looking for a legit review, pretty decent movie.  Enjoyed it. Nice storyline and twist. Good quality audio. No skipped parts.,,,,,,
hzGrwaFztrE,Better then most free full utube movies.,,,,,,,
hzGrwaFztrE,Thanks for free movie ? i love it there is a lesson ,,,,,,,
hzGrwaFztrE,I little bit scared hahahaha,,,,,,,
