"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","viewCount","likeCount","dislikeCount","favoriteCount","commentCount","month","year"
"253","QR0CSXk0ihA","2019-01-27","UCmdIkZ4yzICV-ktQlPBUx_Q","5 new cool gadgets you need to see in 2019","5 COOL PRODUCTS YOU NEED TO SEE IN 2019 Products: 1. SMART LOCK: https://amzn.to/2S4GsOb 2. USB AUDIO INTERFACE: https://amzn.to/2B93CsV 3.","https://i.ytimg.com/vi/QR0CSXk0ihA/default.jpg",120,90,"https://i.ytimg.com/vi/QR0CSXk0ihA/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/QR0CSXk0ihA/hqdefault.jpg",480,360,"Top Cool Gadgets","none",28,0,0,0,0,1,2019
"254","Mjeh6_WbXio","2017-11-11","UCQiDTuEa70F-Ts1JHN1QHlQ","10 neue gadgets die du sehen musst","CRAFTS & HACKS <U+25BB> https://goo.gl/hxvYYc 1. Betterspot https://betterspot.com/ 2. YARRA 3DX http://www.yarra3dx.com/ 3. Heelight ...","https://i.ytimg.com/vi/Mjeh6_WbXio/default.jpg",120,90,"https://i.ytimg.com/vi/Mjeh6_WbXio/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/Mjeh6_WbXio/hqdefault.jpg",480,360,"TechZone","none",305498,3414,605,0,209,11,2017
"255","JtnEi6AHNRc","2019-08-16","UCy5oWcmJpmLxbphbaQOCCZw","top 20 amazing aliexpress gadgets 2019 amazon amp aliexpress best products sale on black friday","Top 20! Amazing Aliexpress Gadgets 2019. Amazon & Aliexpress - Best Products. Sale on Black Friday. This is a New, Cool Selection of Products, Gadgets, ...","https://i.ytimg.com/vi/JtnEi6AHNRc/default.jpg",120,90,"https://i.ytimg.com/vi/JtnEi6AHNRc/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/JtnEi6AHNRc/hqdefault.jpg",480,360,"Robo Review Aliexpress","none",304,9,1,0,3,8,2019
"256","DZyTwPdnOKc","2019-06-17","UCx5e1u7BX0aKwEj3sdYXdXg","honor 20 review the best budget flagship smartphone right now","Huawei's sub-brand Honor recently launched its Honor 20 series phones in India. The series consists of three smartphones and Honor 20 sits comfortably ...","https://i.ytimg.com/vi/DZyTwPdnOKc/default.jpg",120,90,"https://i.ytimg.com/vi/DZyTwPdnOKc/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/DZyTwPdnOKc/hqdefault.jpg",480,360,"Gadgets 360","none",8483,201,11,0,478,6,2019
"257","GyXYmsCkBVE","2019-11-29","UCy5oWcmJpmLxbphbaQOCCZw","20 smart aliexpress gadgets cool aliexpress products available gadgets under rs 100 rs 500","Best Black Friday Deals 2019. Top 20! Amazing Smart Gadgets On Aliexpress.Top Black Friday gadgets and products you can buy on Aliexpress & AMAZON ...","https://i.ytimg.com/vi/GyXYmsCkBVE/default.jpg",120,90,"https://i.ytimg.com/vi/GyXYmsCkBVE/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/GyXYmsCkBVE/hqdefault.jpg",480,360,"Robo Review Aliexpress","none",397,11,0,0,5,11,2019
"258","7Jh0kF6A1NQ","2019-04-12","UCi2jwgfHqyB09_eMjA1cPQA","experiencia de viajes por el mundo gadgets y consejos para viajeros","Este viernes comienza una nueva aventura, cada viernes te espero con un nuevo video, una nueva propuesta pensando en cada coleccionista de nuevas ...","https://i.ytimg.com/vi/7Jh0kF6A1NQ/default.jpg",120,90,"https://i.ytimg.com/vi/7Jh0kF6A1NQ/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/7Jh0kF6A1NQ/hqdefault.jpg",480,360,"Martínez Notte","none",2325,29,0,0,23,4,2019
"259","3J5hMOzvN24","2019-07-03","UCQw8RANBU1lLkK-JNFA_NgQ","fitness best amazing gadgets <U+25BA> on amazon 2019 3","best Amazing GADGETS,<U+25BB>(on amazon 2019) #3 FITNESS Instagram: https://www.instagram.com/incrediblegadgetsac/ Facebook: ...","https://i.ytimg.com/vi/3J5hMOzvN24/default.jpg",120,90,"https://i.ytimg.com/vi/3J5hMOzvN24/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/3J5hMOzvN24/hqdefault.jpg",480,360,"incredible Gadgets","none",199,3,0,0,1,7,2019
"260","3M2wdTXWZZg","2017-11-23","UCT72eG7tRGaGTwdf-fpBWuA","qué gadgets tech llevo en mi mochila tech travel bag","Mejores productos chinos en Gearbest: https://goo.gl/5q9yG7 Gimbal: https://goo.gl/k3x7TH ZONA COUPONES: https://goo.gl/tnDGhi Zona deal ...","https://i.ytimg.com/vi/3M2wdTXWZZg/default.jpg",120,90,"https://i.ytimg.com/vi/3M2wdTXWZZg/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/3M2wdTXWZZg/hqdefault.jpg",480,360,"Tecnofobia","none",18923,346,45,0,17,11,2017
"261","X95Lf_6jItw","2019-09-08","UCj0k9ThHU3HfvMWU-lvoPgw","<U+0905><U+092C> <U+0906><U+092A><U+0915><U+093E> <U+092A><U+094B><U+0915><U+0947><U+091F> <U+0915><U+094B><U+0908> <U+0928><U+0939><U+0940><U+0902> <U+092E><U+093E><U+0930> <U+0938><U+0915><U+0924><U+093E> <U+0001F525> safety gadgets on amazon india under rs150 rs250 rs 500","<U+0905><U+092C> <U+0906><U+092A><U+0915><U+093E> <U+092A><U+094B><U+0915><U+0947><U+091F> <U+0915><U+094B><U+0908> <U+0928><U+0939><U+0940><U+0902> <U+092E><U+093E><U+0930> <U+0938><U+0915><U+0924><U+093E> Safety Gadgets On Amazon India Under Rs150 Rs250 #tech #gadgets #amazon ali technical world Top 20 ...","https://i.ytimg.com/vi/X95Lf_6jItw/default.jpg",120,90,"https://i.ytimg.com/vi/X95Lf_6jItw/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/X95Lf_6jItw/hqdefault.jpg",480,360,"Ali Technical World","none",6750,307,16,0,6,9,2019
"262","ht2PtQ3qiMI","2015-04-15","UCllKB6S-8yhnlFwCZiZT_fA","nuevos gadgets con tsmegcom","Poca madre lo que traen estos muchachos!! Mira la página y sus redes aquí!! Web: http://tsmeg.com/ Twitter: https://twitter.com/TSMEGcom Facebook: ...","https://i.ytimg.com/vi/ht2PtQ3qiMI/default.jpg",120,90,"https://i.ytimg.com/vi/ht2PtQ3qiMI/mqdefault.jpg",320,180,"https://i.ytimg.com/vi/ht2PtQ3qiMI/hqdefault.jpg",480,360,"soysorlak15","none",8708,55,14,0,6,4,2015
